                                                        Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                               Estados Unidos Mexicanos
                                                                                                         2005
                                                                                                       Femenino
                                                                                                                       Grupos de edad
          Estado                 <1             1-4            5-9            10 - 14        15 - 19         20 - 24       25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                    3               64            106             119            122              87           252           31        44        20        60      0     908
Baja California                   0               9              9               5              8               8             26           4         3         4         2       0      78
Baja California Sur               1               5              5               5              6               7             23           7         1         0         3       0      63
Campeche                          1               2              2               1              1               3             8            2         1         2         1       0      24
Coahuila                          2               4              4               9              8               12            22           2         1         0         0       0      64
Colima                            20             238            335             491            569             473          1 468         247       308       107       242      10   4 508
Chiapas                           2               14             6               14             18              21            55           13        7         5         3       0     158
Chihuahua                         2               23             25              23             15              14            40           11        15        5         9       0     182
Distrito Federal                  1               18             20              32             22              31            65           6         18        4         7       0     224
Durango                           15             200            247             321            379             306           905          152       209        74       178      0    2 986
Guanajuato                        85             973           1 383           1 632          1 690           1 632         4 388         636       916       319       631      8    14 293
Guerrero                         164            1 568          1 991           2 035          1 872           1 536         4 090         807      1 182      448       938      17   16 648
Hidalgo                           3               8              5               21             24              14            42           7         13        6         8       0     151
Jalisco                          157            1 880          2 381           2 955          2 920           2 627         7 509        1 155     1 673      627      1 338     20   25 242
México                            23             379            391             424            335             245           674          117       118        85       136      0    2 927
Michoacán                         97            1 225          1 543           1 699          1 673           1 404         3 461         634       861       317       674      5    13 593
Morelos                          136            1 381          1 703           1 739          1 777           1 712         4 205         778      1 060      473       814      17   15 795
Nayarit                           53             489            633             711            674             606          1 613         334       385       169       277     125   6 069
Nuevo León                        2               4              2               2              4               7             25           3         6         0         2       0      57
Oaxaca                            10             170            262             340            300             227           637          119       196       119       276      6    2 662
Puebla                            56             576            867            1 112          1 040            861          2 015         473       651       302       759      3    8 715
Querétaro                         19             132            135             187            196             242           728           85       147        35        85      0    1 991
Quintana Roo                      0               4              7               4              10              13            24           3         7         2         0       0      74
San Luis Potosí                   2               8              14              16             16              20            69           12        20        3         12      0     192
Sinaloa                           23             259            332             400            381             341          1 181         195       341       123       203      1    3 780
Sonora                            40             291            305             277            333             271           845          163       194       103       171      0    2 993
Tabasco                           0               0              0               1              0               2             9            0         3         0         0       0      15
Tamaulipas                        3               4              21              26             13              34            53           8         12        1         6       1     182
Tlaxcala                          1               0              2               2              2               3             5            1         0         0         1       0      17
Veracruz                          1               7              8               7              9               19            27           5         12        5         3       0     103
Yucatán                           0               3              0               3              4               5             8            2         3         1         0       0      29
Zacatecas                         15             102            148             189            176             188           377           82       115        50       107      0    1 549
TOTAL GLOBAL                     937           10 040          12 892          14 802         14 597          12 971       34 849       6 094     8 522     3 409     6 946    213    126 272
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

