                                                       Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                              Estados Unidos Mexicanos
                                                                                                        2006
                                                                                                      Femenino
                                                                                                                      Grupos de edad
          Estado                <1             1-4            5-9            10 - 14        15 - 19         20 - 24       25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                    1              57             97             132            143              87           280           55        74       22         47       0    995
Baja California                   2               4             15               3              7               9            25            1         3        1          3       0     73
Baja California Sur               1               7              5               6             11              17            23            4         5        4          1       0     84
Campeche                          0               1              0               2              4               4            11            1         3        1          1       0     28
Coahuila                          0               4              6               8              8              13            33            2         7        2          1       0     84
Colima                           13             259            402             486            592             543          1 575         229       338       119       279      13   4 848
Chiapas                           2               6              1              12             17              15            31           13         5        2         10       1    115
Chihuahua                         2              22             11              20             14              10            62            8        17        5         13       0    184
Distrito Federal                  1              15             20              30             33              19            89           11        18        2         14       0    252
Durango                          20             211            276             346            416             369           888          154       222       75        141      10   3 128
Guanajuato                       94            1 089          1 704           1 924          2 001           1 819         5 214         803      1 120      439       888       4   17 099
Guerrero                        172            1 912          2 371           2 492          2 210           1 997         5 343         969      1 488      552      1 235    114   20 855
Hidalgo                           0               2             12              11             13              11            58            7         7        5         10       0    136
Jalisco                         178            2 148          2 882           3 257          3 368           3 052         8 658        1 357     2 031      818      1 672     47   29 468
México                           30             353            428             459            399             325           790          139       176       84        207       2   3 392
Michoacán                       118            1 382          1 724           2 009          1 938           1 659         4 247         780      1 025      362       770       4   16 018
Morelos                          96            1 260          1 655           1 844          1 746           1 631         4 095         840      1 180      461       849      66   15 723
Nayarit                          56             491            708             809            797             712          1 932         404       477       181       348       0   6 915
Nuevo León                        0               6             10               5              8               9            47            6         6        2          1       0    100
Oaxaca                           13             182            247             316            302             284           697          165       221       106       291       4   2 828
Puebla                           42             601            908            1 121          1 070            835          2 141         501       727       344       812       1   9 103
Querétaro                        15             125            174             224            241             277           882          106       150       52         90       0   2 336
Quintana Roo                      1               2              2               2              3               9            35            9         4        1          2       1     71
San Luis Potosí                   6              20             18              14             14              20            77           18        19        8         18       1    233
Sinaloa                          26             280            354             431            459             386          1 251         218       358       137       253     128   4 281
Sonora                           23             241            290             270            343             276           735          127       211       68        163       1   2 748
Tabasco                           1               1              0               0              1               2             8            3         2        1          0       0     19
Tamaulipas                        0               8             22              17             16              28            58            9        12        3         11       0    184
Tlaxcala                          0               0              0               3              4               3             9            1         2        0          1       0     23
Veracruz                          3              12             15              14             11              11            49           12        19        4          7       0    157
Yucatán                           3               4              0               5              3               5            10            2         2        1          1       0     36
Zacatecas                        10             155            183             213            263             214           464           94       130       70        139       1   1 936
TOTAL GLOBAL                    929            10 860         14 540          16 485         16 455          14 651       39 817       7 048     10 059    3 932     8 278    398    143 452
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

