                                                       Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                              Estados Unidos Mexicanos
                                                                                                        2007
                                                                                                      Femenino
                                                                                                                      Grupos de edad
          Estado                <1             1-4             5-9           10 - 14        15 - 19         20 - 24       25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                    6              68              95            122            148             100           257           45        52       26         74       0     993
Baja California                   1               4               3              2              9              14            25            3         6        2          6       0     75
Baja California Sur               0               8               7              6              7              11            27            4         4        1          2       0     77
Campeche                          0               3               1              3              3               4            11            2         1        1          1       0     30
Coahuila                          2               8               8             11             15              10            41            3         2        1          6       0     107
Colima                           28             222             312            419            589             488          1 484         264       383       122       219       9   4 539
Chiapas                           0               5               8             16             21              15            59           12        14        3         10       0     163
Chihuahua                         5              21              22             28             15              19            60            7        12        1          9       0     199
Distrito Federal                  0              10              23             31             32              33            84           16        17        5          9       0     260
Durango                          30             212             329            365            434             349           994          160       218       107       186       1   3 385
Guanajuato                       76            1 086           1 585          1 923          2 097           1 999         5 328         851      1 167      408       915      13   17 448
Guerrero                        143            1 708           2 242          2 285          2 269           1 944         4 977         879      1 414      543      1 175     78   19 657
Hidalgo                           1               3               9              3              9              13            28           10         6        4          9       0     95
Jalisco                         159            2 053           2 871          3 123          3 128           3 015         8 185        1 236     1 890      721      1 620     37   28 038
México                           50             347             393            379            373             303           829          155       169       81        189       1   3 269
Michoacán                       104            1 190           1 476          1 643          1 776           1 395         3 789         638       884       338       678       9   13 920
Morelos                          89            1 205           1 592          1 798          1 801           1 552         4 254         898      1 292      519       938      12   15 950
Nayarit                          62             492             691            789            859             718          2 043         372       535       200       429       2   7 192
Nuevo León                        0               9              14              3             15              20            49            3         5        3          3       0     124
Oaxaca                           14             196             266            315            369             300           867          150       267       133       333       4   3 214
Puebla                           24             524             773            930           1 000            810          1 806         455       631       244       703      33   7 933
Querétaro                        16             133             189            169            173             209           644          119       131       49         97       0   1 929
Quintana Roo                      0               1               1              4              7               8            21            3         4        1          2       0     52
San Luis Potosí                   1              12              26             17             28              25            83           14        18        5         13       0     242
Sinaloa                          28             303             362            405            481             389          1 241         253       390       144       286       2   4 284
Sonora                           35             281             270            283            331             251           758          128       214       71        159       1   2 782
Tabasco                           0               1               1              1              3               6             6            1         1        0          0       1     21
Tamaulipas                        4               9              18              9             21              25            65            8        11        7          6       0     183
Tlaxcala                          2               1               1              2              4               4             9            1         1        0          1       1     27
Veracruz                          2              10              14             12             17               7            68           12        21        3         10       0     176
Yucatán                           0               1               3              1              1               5            20            1         8        2          3       0     45
Zacatecas                         8             138             156            210            271             217           498          100       141       76        141       0   1 956
TOTAL GLOBAL                     890           10 264          13 761          15 307         16 306         14 258       38 610       6 803     9 909     3 821     8 232    204    138 365
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

