                                                     Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                   Estados Unidos Mexicanos
                                                                                             2009
                                                                                      Población femenina
                                                                                                     Grupos de edad
          Estado               <1           1-4            5-9         10 - 14   15 - 19   20 - 24       25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                  3             69             99          112       139       114           259           47        53       25        53       0     973
Baja California                 1             6              7            10        13        11            35           10        7         1         7       0     108
Baja California Sur             0             4              3            1         7         8             17           1         3         0         3       0      47
Campeche                        0             2              1            1         8         11            17           3         5         4         3       0      55
Coahuila                        1             10             16           10        23        19            29           6         4         1         0       0     119
Colima                         16            277            306          422       591       566          1 555         253       376       108      211       4    4 685
Chiapas                         1             18             11           8         19        34            83           17        25        8        16       0     240
Chihuahua                       6             26             23           16        13        27            57           17        17        8         8       1     219
Distrito Federal                2             15             20           21        23        29            91           12        24        5         4       0     246
Durango                        17            179            281          309       389       367           911          172       224       84       173       0    3 106
Guanajuato                     59            925           1 340        1 640     1 895     1 600         4 210         667       864       310      659       0    14 169
Guerrero                       148          1 870          2 437        2 677     2 856     2 302         6 376        1 134     1 778      659     1 564      44   23 845
Hidalgo                         0             4              4            11        12        14            36           11        11        3        10       0     116
Jalisco                        165          1 902          2 515        2 792     3 148     3 007         8 324        1 309     2 006      733     1 527      47   27 475
México                         31            432            570          547       653       443          1 097         220       277       120      238       1    4 629
Michoacán                      118          1 305          1 675        1 908     2 153     1 843         4 603         792      1 150      451      908       4    16 910
Morelos                        81           1 141          1 597        1 661     1 989     1 833         4 448         886      1 314      482      949       13   16 394
Nayarit                        34            471            537          726       826       777          2 053         383       495       189      378      126   6 995
Nuevo León                      3             8              9            11        15        18            89           1         6         5         6       0     171
Oaxaca                         17            189            294          325       368       322           867          185       268       119      360       4    3 318
Puebla                         26            521            717          840       948       889          2 069         496       738       289      755       1    8 289
Querétaro                      19            115            145          201       200       206           794          111       176       50        79       0    2 096
Quintana Roo                    4             8              4            4         6         11            45           8         11        4         3       0     108
San Luis Potosí                 2             9              8            17        15        18            61           7         15        6        12       0     170
Sinaloa                        21            277            396          490       568       508          1 447         295       435       198      318       3    4 956
Sonora                         16            217            236          252       308       257           675          111       211       75       156      133   2 647
Tabasco                         0             4              1            0         2         2             9            1         1         2         2       0      24
Tamaulipas                      0             10             18           12        16        16            90           9         11        2         6       0     190
Tlaxcala                        0             5              3            1         4         4             13           2         0         1         2       0      35
Veracruz                        0             12             7            11        13        22            55           13        20        3         6       0     162
Yucatán                         0             0              1            3         2         2             7            3         5         1         3       0      27
Zacatecas                      10            127            149          184       231       240           520          108       127       70       149       1    1 916
TOTAL GLOBAL                   801          10 158        13 430       15 223    17 453    15 520        40 942       7 290     10 657    4 016     8 568    382    144 440
FUENTE : SUIVE/DGE/Secretaría de Salud/Estados Unidos Mexicanos-2009

