                                    Casos nuevos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                              Estados Unidos Mexicanos 2011
                                                                     Población femenina
                                                                                                 Grupos de edad
              Estado
                                     <1         1-4         5-9       10 - 14   15 - 19   20 - 24    25 - 44    45 - 49   50 - 59   60 - 64   65 y +   Ign.    Total
Aguascalientes                        4           72         89         121       159       128        310         45        78       32        67       0     1 105
Baja California                       1            1         12           8         5         6         21          1         6        4         2       0       67
Baja California Sur                   0            4          2           5         8        13         26          2         7        1         1       0       69
Campeche                              0            6          2           6         6         9         16          3         8        3         0       0       59
Coahuila                              0            8          7          10        12        17         37          8         7        1         2       0      109
Colima                               32          308        350         486       581       674       1 721       271       453       110      272       7     5 265
Chiapas                               2           15          8          16        15        25         77          9        19        6        16       0      208
Chihuahua                             8           29         23          27        31        36         68          9        20        6         9       0      266
Distrito Federal                      1           15         21          31        36        29        101         18        17        8        13       1      291
Durango                              19          200        307         378       497       473       1 194       243       345       126      251       0     4 033
Guanajuato                           69         1 184      1 535       2 005     2 152     1 917      4 707       796      1 053      356      765       4    16 543
Guerrero                             169        1 951      2 540       3 015     3 153     2 722      6 983      1 258     1 939      692     1 634     10    26 066
Hidalgo                               0            9         11          13        18        13         49          7         9        1         9       0      139
Jalisco                              163        1 857      2 288       2 646     3 098     2 893      7 639      1 262     1 840      678     1 352     72    25 788
México                               35          472        563         603       608       553       1 257       226       305       128      278       1     5 029
Michoacán                            129        1 175      1 469       1 711     2 040     1 826      4 732       803      1 090      438      771       1    16 185
Morelos                              62         1 258      1 644       1 913     2 232     2 065      5 090      1 043     1 559      449     1 032     42    18 389
Nayarit                              40          418        511         636       746       677       1 909       323       457       184      382       0     6 283
Nuevo León                            0            6          8          10        13        17         51          8         7        0         3       0      123
Oaxaca                               13          170        273         292       331       313        761        190       273       105      313       3     3 037
Puebla                               41          455        715         755       936       864       2 086       462       717       294      711       3     8 039
Querétaro                            23          199        166         231       322       318       1 059       186       298       89       161       0     3 052
Quintana Roo                          1            8          8           5        13        21         54          9         8        1         6       1      135
San Luis Potosí                       1            1         11           9        16        19         48         12        16        2        13       0      148
Sinaloa                              21          297        359         520       620       556       1 576       310       483       214      315      12     5 283
Sonora                               28          285        298         353       390       353        970        175       292       106      168       2     3 420
Tabasco                               1            3          3           1         0         8         11          3         3        2         2       0       37
Tamaulipas                            1           12         16          14        23        16         75         13        20        8         7       0      205
Tlaxcala                              0            0          5           4         1        10         12          0         2        0         4       0       38
Veracruz                              0            5         11          15        13        14         56          8        17        3        10       1      153
Yucatán                               0            0          0           5         1         6         19          3         6        1         4       0       45
Zacatecas                            12          113        158         172       227       201        504        105       151       77       157       0     1 877

TOTAL GLOBAL                         876      10 536      13 413      16 016    18 303    16 792     43 219     7 811     11 505    4 125     8 730    160    151 486
FUENTE: SUIVE/DGE/Secretaría de Salud/Estados Unidos Mexicanos-2011

