                                                                  Casos nuevos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                             Estados Unidos Mexicanos 2012
                                                                                                  Población femenina
                                                                                                                  Grupos de edad
           Estado
                                    <1              1-4               5-9      10 - 14      15 - 19     20 - 24       25 - 44      45 - 49     50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                         2              62                96       151         175          142           313          56          94         29       72       0     1 192
Baja California                        1               6                 3         9           9            9            22           1           5          2        2       0       69
Baja California Sur                    1               7                 4         6          11           14            34           2           5          3        2       0       89
Campeche                               1               1                 0         3           4            7            15           5           4          3        9       0       52
Coahuila                               2               7                 6        13           9           22            57           8           5          0        0       0      129
Colima                                20             300               325       403         624          595          1 771        237         470        131      301     136     5 313
Chiapas                                2               6                 5        13          24           24            71          10          19          6        7       0      187
Chihuahua                              5              28                24        26          31           22            85          19          11          7       18       0      276
Distrito Federal                       0               9                19        37          34           25            65          16          24          9        9       0      247
Durango                               29             239               312       417         546          484          1 192        255         295        121      219       0     4 109
Guanajuato                           103            1 341             1 879     2 234       2 220        2 165         5 787        955        1 424       446      944      12    19 510
Guerrero                             198            2 323             2 904     3 141       3 502        2 992         7 808       1 398       2 169       789     1 764     14    29 002
Hidalgo                                1               7                10        19          12           12            49          10          13          4       11       0      148
Jalisco                              132            1 823             2 343     2 782       2 954        3 058         8 125       1 374       2 060       693     1 367     46    26 757
México                                49             497               592       694         707          597          1 321        227         346        109      294     252     5 685
Michoacán                            139            1 374             1 553     1 853       2 196        2 132         4 805        926        1 222       499      901       3    17 603
Morelos                               60            1 168             1 566     1 798       1 986        1 883         4 519        815        1 264       404      840      10    16 313
Nayarit                               57             467               651       718         916          811          2 071        399         561        222      406       2     7 281
Nuevo León                             1               5                 7         7          13           21            48           9          16          5        7       0      139
Oaxaca                                12             185               239       278         366          294           808         215         264        112      317       2     3 092
Puebla                                38             467               678       780         944          946          2 063        462         663        299      722       6     8 068
Querétaro                              7             148               175       216         304          330          1 090        179         278         81      163       0     2 971
Quintana Roo                           1               3                 5         4           6           12            16           6           5          0        2       2       62
San Luis Potosí                        0              11                12        20          23           34            71          14          21          7       24       0      237
Sinaloa                               25             334               424       472         589          636          1 741        325         543        224      398       5     5 716
Sonora                                31             278               349       372         416          391          1 048        184         345        105      203       2     3 724
Tabasco                                0               4                 3         2           1           11            20           1           7          1        0       0       50
Tamaulipas                             4              25                25        18          29           35           107          22          26          7       24       1      323
Tlaxcala                               0               2                 1         3           2            7            11           1           4          2        3       0       36
Veracruz                               0              11                 9         8          20           17            40          10          26          5       13       0      159
Yucatán                                0               2                 2         4           1            5            15           1           2          2        2       0       36
Zacatecas                              5             114               157       181         200          201           494         108         162         75      176       3     1 876
TOTAL GLOBAL                         926           11 254             14 378   16 682       18 874      17 934        45 682       8 250       12 353    4 402     9 220    496    160 451
FUENTE: SUIVE/DGE/Secretaría de Salud/Estados Unidos Mexicanos 2012

