                                 Casos nuevos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                      Estados Unidos Mexicanos 2013
                                                                                   Mujeres
                                                                                               Grupos de edad
            Estado
                                       <1        1-4        5-9       10 - 14   15 - 19   20 - 24   25 - 44   45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                           9         64         92          104       140      128        253        67        89       33       61      0      1 040
Baja California                          2         10         11            3         5       13         35         2         5        2        1      0         89
Baja California Sur                      1          2          3            5         4        8          7         2         4        1        0      0         37
Campeche                                 0          0          2            2         4        6         16         3         5        4        4      0         46
Coahuila                                 0          7          9           11        10       20         51         2         7        2        6      0        125
Colima                                  22        257        371          466       592      613      1 706       286       443      121      265      2      5 144
Chiapas                                  0          6         13           16        13       17         76        17        35        4       16      0        213
Chihuahua                                6         25         13           23        25       24         62        15        13        4        6      0        216
Distrito Federal                         3         15         31           28        30       42         91        22        24        4        7      0        297
Durango                                 37        291        356          499       568      565      1 484       280       371      173      334      0      4 958
Guanajuato                             104      1 228      1 716        2 122     2 035    1 976      5 481       872     1 350      438      973      9     18 304
Guerrero                               169      2 302      2 900        3 306     3 571    3 221      8 307     1 633     2 388      828    1 984     18     30 627
Hidalgo                                  0          6         17            9        17       21         43         7        10        6        6      0        142
Jalisco                                153      1 921      2 230        2 689     2 983    2 972      8 077     1 372     2 135      705    1 502     30     26 769
México                                  29        560        642          665       667      659      1 520       268       417      158      345    128      6 058
Michoacán                              104      1 432      1 620        1 927     2 103    2 181      5 138       955     1 316      469      931     61     18 237
Morelos                                 38      1 071      1 498        1 705     1 968    1 901      4 707       877     1 348      481      942     26     16 562
Nayarit                                127        560        590          740       740      865      2 076       486       601      249      464     52      7 550
Nuevo León                               1          6          7            9        10       10         47         7         4        2        8      0        111
Oaxaca                                  13        187        255          285       320      341        862       206       319      127      315      4      3 234
Puebla                                  32        451        508          679       849      755      1 823       402       598      277      627      2      7 003
Querétaro                                8        119        145          201       316      370      1 207       186       301       95      189      0      3 137
Quintana Roo                             1          6          1            2         9       10         25         5        11        1        3      1         75
San Luis Potosí                          2         10         14           11        24       34         68        14        28       13       19      0        237
Sinaloa                                 31        356        372          531       596      669      1 724       349       572      186      367      5      5 758
Sonora                                  32        278        314          344       406      353        988       173       338      101      195      3      3 525
Tabasco                                  0          2          3            1         2        3          8         0         2        1        0      0         22
Tamaulipas                               0         20         20           30        35       27         99        16        25        7       19      1        299
Tlaxcala                                 0          1          3            0         2        4          8         5         4        1        1      0         29
Veracruz                                 2          6          3            4         9       18         58         8        15        6        8      0        137
Yucatán                                  0          2          1            1         6        2          6         1         4        3        2      0         28
Zacatecas                               11        120        160          224       249      237        562       131       168       80      178      0      2 120

TOTAL GLOBAL                          937     11 321      13 920       16 642   18 308    18 065    46 615     8 669    12 950     4 582    9 778    342    162 129
FUENTE: SUIVE/DGE/Secretaría de Salud/Estados Unidos Mexicanos 2013

