                                                        Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                               Estados Unidos Mexicanos
                                                                                                         2006
                                                                                                   Población General
                                                                                                                       Grupos de edad
          Estado                 <1             1-4            5-9            10 - 14        15 - 19         20 - 24       25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                    5              142            200             321            253             162           509           92       141        45       130       0    2 000
Baja California                   2               8              18              10             13              12            46           2         5         1         3        0     120
Baja California Sur               1               14             10              14             20              23            35           5         11        6         5        0     144
Campeche                          0               1              0               3              5               5             15           1         3         1          1       0      35
Coahuila                          0               4              16              12             14              19            59           4         12        5         3        0     148
Colima                            40             592            810            1 132          1 273           1 167         3 248         474       715       283       577      32   10 343
Chiapas                           3               15             11              21             33              19            52           19        14        7         16       1     211
Chihuahua                         5               51             41              33             25              23            94           18        27        8         24       0     349
Distrito Federal                  4               36             37              60             46              39           146           20        35        6         20       0     449
Durango                           40             437            617             762            800             651          1 636         287       388       150       292      10    6 070
Guanajuato                       185            2 435          3 527           4 081          3 787           3 338         8 926        1 301     1 902      771      1 650     6    31 909
Guerrero                         369            4 112          5 224           5 602          4 791           3 682         9 561        1 764     2 763     1 132     2 600    125   41 725
Hidalgo                           0               11             28              18             24              17            94           14        21        10        18       0     255
Jalisco                          419            4 788          6 165           7 309          6 977           5 826        16 190        2 618     3 963     1 683     3 624    100   59 662
México                            70             773            953            1 053           833             563          1 367         264       318       163       351       3    6 711
Michoacán                        257            3 040          3 784           4 365          4 024           3 032         7 564        1 420     1 899      741      1 658     15   31 799
Morelos                          177            2 755          3 541           4 037          3 584           3 010         7 720        1 684     2 289     1 012     1 889     89   31 787
Nayarit                          118            1 048          1 451           1 792          1 733           1 468         3 975         757      1 046      450       860      3    14 701
Nuevo León                        1               10             15              12             18              22            70           11        9         3         4        0     175
Oaxaca                            33             420            506             656            533             416          1 080         261       367       181       518       9    4 980
Puebla                            81            1 314          1 826           2 385          2 157           1 494         3 713         940      1 329      622      1 484     7    17 352
Querétaro                         40             299            370             418            471             471          1 535         186       246        89       150       0    4 275
Quintana Roo                      3               7              7               4              10              15            64           11        9         3         3        1     137
San Luis Potosí                   9               35             30              32             33              30           125           25        33        18        25       2     397
Sinaloa                           51             586            743             875            835             682          2 017         385       601       251       527     130    7 683
Sonora                            53             581            608             529            523             427          1 101         191       295        99       234       2    4 643
Tabasco                           1               2              0               2              1               3             12           3         2         1          0       0      27
Tamaulipas                        0               27             37              31             31              39           104           17        23        3         14       0     326
Tlaxcala                          0               2              2               6              7               5             12           2         2         0          1       0      39
Veracruz                          5               27             23              25             22              19            74           15        22        6         15       1     254
Yucatán                           3               6              4               8              6               7             16           3         2         1          6       0      62
Zacatecas                         18             336            442             452            475             379           889          175       224       128       307       5    3 830
TOTAL GLOBAL                    1 993          23 914         31 046          36 060         33 357          27 065        72 049       12 969    18 716    7 879     17 009   541    282 598
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

