                                                        Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                               Estados Unidos Mexicanos
                                                                                                         2007
                                                                                                   Población General
                                                                                                                      Grupos de edad
         Estado                  <1             1-4            5-9            10 - 14        15 - 19        20 - 24       25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                    9             146             221            270             276            179          449           69       112        45       157       0    1 933
Baja California                   1               9               8             11              20             16           51            5        10         2         6       1     140
Baja California Sur               0              16              16             10              12             15           45            7         8         3         2       0     134
Campeche                          0               4               3              4               5              5           17            2         2         1         1       0      44
Coahuila                          2              14              17             20              25             21           60            6         8         2        10       0     185
Colima                           46             479             704            979            1 258          1 088        3 108         538       811       289       556      18    9 874
Chiapas                           0              17              17             32              40             27           99           21        28         9        16       0     306
Chihuahua                         9              49              53             50              29             33          106           13        21         5        22       0     390
Distrito Federal                  1              29              47             63              58             51          138           24        28         5        18       0     462
Durango                          67             469             677            764             833            668         1 807         310       410       185       342       4    6 536
Guanajuato                       192           2 313           3 358          4 004           4 001          3 469        9 145        1 403     2 021      723      1 644     15    32 288
Guerrero                         326           3 697           4 814          5 240           4 521          3 441        8 895        1 608     2 586     1 068     2 390     86    38 672
Hidalgo                           2               7              24             10              15             16           38           13         8         6        11       0     150
Jalisco                          334           4 324           6 119          6 747           6 566          5 589        15 151       2 433     3 665     1 500     3 374     84    55 886
México                           75             759             892            886             777            526         1 414         277       336       148       344       1    6 435
Michoacán                        216           2 595           3 261          3 712           3 553          2 612        6 690        1 202     1 623      653      1 448     16    27 581
Morelos                          173           2 713           3 515          3 865           3 779          2 932        7 941        1 757     2 551     1 107     1 987     33    32 353
Nayarit                          132           1 095           1 507          1 764           1 922          1 582        4 329         842      1 163      526      1 040      6    15 908
Nuevo León                        0              16              29             11              24             24           73            5        11         5         6       0     204
Oaxaca                           30             451             558            662             625            476         1 275         243       424       201       568       4    5 517
Puebla                           59            1 131           1 578          1 966           1 880          1 401        3 124         784      1 130      473      1 332     35    14 893
Querétaro                        40             291             368            343             387            360         1 220         170       241        91       157       0    3 668
Quintana Roo                      2               8               9              7              12             11           38            4         7         2         3       0     103
San Luis Potosí                   4              22              46             31              43             33          110           19        32        10        23       0     373
Sinaloa                          54             614             749            870             903            694         2 109         422       654       247       577      10    7 903
Sonora                           69             635             548            541             519            422         1 174         215       315       101       268       2    4 809
Tabasco                           0               4               3              2               6              9            9            1         3         1         2       1      41
Tamaulipas                        5              23              34             21              30             42          109           11        17         9        16       0     317
Tlaxcala                          2               2               4              3              10              6           19            2         2         0         2       1      53
Veracruz                          4              36              30             24              32             18          107           20        39         6        19       0     335
Yucatán                           0               4               4              6               3              6           29            3         8         2         4       0      69
Zacatecas                        16             307             366            463             480            383          907          194       273       153       335       1    3 878
TOTAL GLOBAL                    1 870          22 279         29 579          33 381         32 644          26 155       69 786       12 623    18 547    7 578     16 680   318    271 440
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

