                                                          Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                                 Estados Unidos Mexicanos
                                                                                                           2008
                                                                                                     Población General
                                                                                                                            Grupos de edad
         Estado                  <1              1-4             5-9           10 - 14         15 - 19          20 - 24         25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                     10            131             223             272             311                 198          429          95       125        48       144       0     1 986
Baja California                     3             10              16              11              14                  22           62           5         5         1         6       0      155
Baja California Sur                 2             11              10               8              19                  16           31           7         6         4         6       0      120
Campeche                            7             15               9              15               7                  15           33           6        11         2         5       0      125
Coahuila                            1             19              21              14              21                  23           61          10        12         1         2       0      185
Colima                             47            543             787            1 020           1 318               1 308        3 221        573       780       270       481      13    10 361
Chiapas                             6             26              27              31              42                  36          109          28        50        12        24       0      391
Chihuahua                          12             54              56              34              42                  38          115          13        23         3        13      10      413
Distrito Federal                    2             36              47              60              56                  43          159          23        28         8        18       1      481
Durango                            36            445             564             691             801                 700         1 789        349       405       152       322       0     6 254
Guanajuato                        194           2 273           3 082           3 508           3 482               2 967        7 834       1 186     1 729      746      1 624      7    28 632
Guerrero                          293           3 756           5 032           5 513           4 919               3 486        9 226       1 705     2 555     1 093     2 547     16    40 141
Hidalgo                             0              6              18              29              20                  26           83          10        16         5        15       0      228
Jalisco                           339           4 253           5 671           6 326           6 525               5 466       14 829       2 489     3 672     1 418     3 121     68    54 177
México                             65            907            1 114           1 114           1 006                684         1 789        334       471       190       442       3     8 119
Michoacán                         232           2 781           3 530           4 016           3 814               2 993        7 530       1 387     1 856      720      1 705    137    30 701
Morelos                           152           2 541           3 344           3 488           3 671               3 135        7 367       1 845     2 400      978      1 783     16    30 720
Nayarit                            91            991            1 276           1 673           1 917               1 458        4 239        827      1 207      443      1 003      3    15 128
Nuevo León                          3             17              17              11              16                  26          102          11        18         3         9       0      233
Oaxaca                             35            424             542             704             715                 484         1 402        318       439       206       575       3     5 847
Puebla                             67           1 189           1 631           1 863           1 977               1 446        3 347        798      1 187      543      1 392      3    15 443
Querétaro                          35            327             317             459             440                 446         1 454        181       281        89       199       0     4 228
Quintana Roo                        0              7               6               7               6                  13           31           5         7         0         4       0       86
San Luis Potosí                     2             19              21              41              25                  33          107          30        32        18        25       0      353
Sinaloa                            72            620             730             847            1 027                881         2 344        497       641       258       569       1     8 487
Sonora                             63            473             471             481             497                 402         1 066        218       286       100       188       3     4 248
Tabasco                             0              3               3               3               9                   5           24           0         4         0         2       0       53
Tamaulipas                          4             30              27              30              24                  34          107          15        13        11        12       0      307
Tlaxcala                            0              3               3               3               7                   7           24           2         2         0         1       0       52
Veracruz                            4             16              23              18              25                  29           63          13        30         8        13       0      242
Yucatán                             0              7               3               5               5                   6           26           3         6         1         1       0       63
Zacatecas                          23            289             376             435             473                 406         1 008        222       296       141       343       5     4 017
TOTAL GLOBAL                    1 800           22 222         28 997          32 730          33 231           26 832          70 011       13 205    18 593    7 472     16 594   289    271 976
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/   SSA

