                                                             Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                            Estados Unidos Mexicanos
                                                                                                      2009
                                                                                                Población General
                                                                                                         Grupos de edad
             Estado                      <1            1-4               5-9     10 - 14   15 - 19   20 - 24   25 - 44    45 - 49   50 - 59   60 - 64   65 y +   Ign.      Total
Aguascalientes                             6             137               196       251       259       220       474         83       102        68      116      0     1 912
Baja California                            3              13                13        24        23        25        68         11        10         2       12      0       204
Baja California Sur                        0              10                 6         8        11        12        31          3        10         1        7      0        99
Campeche                                   0               4                 1         3        10        18        29          4         7         6        5      0        87
Coahuila                                   1              23                28        19        35        29        52          8         8         1        1      0       205
Colima                                    41             586               673       957     1 258     1 229     3 245        578       812       288      508      7    10 182
Chiapas                                    2              37                25        21        31        48       121         23        41        12       24      0       385
Chihuahua                                  9              60                43        42        40        42        92         27        21        13       15      1       405
Distrito Federal                           2              26                40        54        46        58       158         20        36         6       14      0       460
Durango                                   38             380               540       639       765       669     1 685        301       409       149      321      0     5 896
Guanajuato                               132           2 003             2 791     3 378     3 527     2 844     7 151      1 188     1 525       554    1 253      0    26 346
Guerrero                                 286           4 175             5 449     6 194     6 054     4 367    11 658      2 122     3 344     1 278    3 172     60    48 159
Hidalgo                                    0               9                 9        20        18        19        63         15        24         4       15      0       196
Jalisco                                  351           4 148             5 568     6 164     6 735     5 948    16 227      2 543     4 064     1 585    3 361     86    56 780
México                                    76             947             1 284     1 244     1 277       859     1 964        389       501       226      491      2     9 260
Michoacán                                262           2 887             3 688     4 091     4 269     3 473     8 606      1 506     2 178       870    1 912      9    33 751
Morelos                                  146           2 640             3 464     3 610     3 962     3 434     8 434      1 786     2 768     1 041    2 087     43    33 415
Nayarit                                   89           1 004             1 232     1 607     1 902     1 647     4 408        843     1 119       488    1 018    128    15 485
Nuevo León                                 3              18                18        26        20        31       134          9        12        10        9      0       290
Oaxaca                                    38             389               576       646       671       523     1 331        311       474       202      608      6     5 775
Puebla                                    69           1 116             1 559     1 786     1 961     1 565     3 597        866     1 306       549    1 343      2    15 719
Querétaro                                 37             288               331       402       410       388     1 425        192       294        88      163      0     4 018
Quintana Roo                               4              15                11        11        12        23        70         14        12         6        8      0       186
San Luis Potosí                            4              19                26        33        27        28        98         13        35         8       21      0       312
Sinaloa                                   71             654               817       974     1 027       904     2 402        521       788       353      644      4     9 159
Sonora                                    43             497               505       513       485       398     1 060        187       313       104      238    140     4 483
Tabasco                                    0               5                 5         3         4         3        14          2         3         3        4      0        46
Tamaulipas                                 3              29                30        23        23        28       117         17        18         5       11      3       307
Tlaxcala                                   0               9                 6         5         6         6        19          3         3         1        5      0        63
Veracruz                                   4              21                13        20        28        35        88         22        32        15       22      0       300
Yucatán                                    0               1                 2         4         6         3        10          5         7         2        3      0        43
Zacatecas                                 14             255               349       403       430       408       949        215       264       124      317     10     3 738
TOTAL GLOBAL                         1 734          22 405           29 298      33 175    35 332    29 284    75 780     13 827    20 540     8 062    17 728   501    287 666
FUENTE : SUIVE/DGE/ Secretaría de Salud/ Estados Unidos Mexicanos-2009

