                                                        Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                               Estados Unidos Mexicanos
                                                                                                         2005
                                                                                                      Masculino
                                                                                                                       Grupos de edad
          Estado                 <1             1-4            5-9            10 - 14        15 - 19         20 - 24       25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.   Total
Aguascalientes                    4               86            115             153             98              60           171           32        58        20        56      0     853
Baja California                   1               8              12              8              4               13            14           2         7         2         0       0      71
Baja California Sur               3               5              2               5              7               6             23           1         2         0         2       0      56
Campeche                          1               1              0               2              1               2             4            0         1         0         0       0      12
Coahuila                          2               7              6               6              7               8             18           4         7         1         5       0      71
Colima                            27             317            432             606            654             547          1 559         232       364       157       304      19   5 218
Chiapas                           4               17             8               12             12              8             35           10        8         6         8       0     128
Chihuahua                         4               13             23              14             11              14            33           12        8         2         9       0     143
Distrito Federal                  2               15             22              19             26              19            41           10        10        3         2       1     170
Durango                           10             220            334             409            349             284           686          148       165        62       122      0    2 789
Guanajuato                        98            1 234          1 472           1 710          1 477           1 311         3 008         425       628       247       511      5    12 126
Guerrero                         143            1 858          2 403           2 618          1 942           1 286         3 286         676       939       443       898      14   16 506
Hidalgo                           0               4              11              12             17              9             25           5         4         4         8       0      99
Jalisco                          215            2 399          2 897           3 530          3 102           2 358         5 984         922      1 521      652      1 467     24   25 071
México                            30             403            495             512            330             187           470           93       135        57       116      2    2 830
Michoacán                        110            1 392          1 792           2 115          1 749           1 139         2 812         516       731       329       748      10   13 443
Morelos                          138            1 583          2 067           2 049          1 777           1 349         3 569         758      1 035      477       934      28   15 764
Nayarit                           62             589            809             890            863             721          1 863         410       504       234       446      6    7 397
Nuevo León                        1               4              8               2              7               11            17           4         8         1         2       0      65
Oaxaca                            15             171            265             337            243             127           382           83       157        64       185      1    2 030
Puebla                            43             726            967            1 165           967             607          1 551         380       587       234       631      2    7 860
Querétaro                         20             166            190             221            180             196           553           51        96        31        78      0    1 782
Quintana Roo                      2               5              0               8              6               8             27           3         6         1         2       0      68
San Luis Potosí                   0               14             9               12             16              6             44           7         8         3         11      1     131
Sinaloa                           31             320            374             362            303             248           703          136       226        83       214      5    3 005
Sonora                            48             375            312             263            222             189           472           96       131        45       102      0    2 255
Tabasco                           0               1              1               2              5               3             6            1         4         0         0       0      23
Tamaulipas                        1               11             17              14             7               16            36           5         12        1         4       1     125
Tlaxcala                          0               5              3               2              1               1             7            0         0         0         1       0      20
Veracruz                          2               8              1               6              5               18            18           7         8         1         2       0      76
Yucatán                           0               2              1               2              2               1             13           3         1         0         4       0      29
Zacatecas                         10             140            176             200            198             130           302           83        97        39       113      0    1 488
TOTAL GLOBAL                    1 027          12 099          15 224          17 266         14 588          10 882       27 732       5 115     7 468     3 199     6 985    119    121 704
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

