                                             Casos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                 Estados Unidos Mexicanos
                                                                                           2009
                                                                                    Población Masculina
                                                                                                     Grupos de edad
         Estado                 <1              1-4            5-9     10 - 14   15 - 19   20 - 24       25 - 44      45 - 49   50 - 59   60 - 64   65 y +   Ign.    Total
Aguascalientes                    3              68              97     139       120       106            215          36        49         43       63      0       939
Baja California                   2               7              6       14        10        14             33          1          3         1        5       0        96
Baja California Sur               0               6              3       7         4          4             14          2         7          1        4       0        52
Campeche                          0               2              0       2         2          7             12          1         2          2        2       0        32
Coahuila                          0              13              12       9        12        10             23          2          4          0       1       0        86
Colima                            25            309             367     535       667       663           1 690        325       436        180      297       3     5 497
Chiapas                           1              19              14      13        12        14             38          6         16          4        8      0       145
Chihuahua                         3              34              20      26        27        15             35          10         4          5        7      0       186
Distrito Federal                  0              11              20      33        23        29             67          8         12          1       10      0       214
Durango                           21            201             259     330       376       302            774         129       185         65      148       0     2 790
Guanajuato                       73            1 078           1 451   1 738     1 632     1 244          2 941        521       661        244      594       0    12 177
Guerrero                         138           2 305           3 012   3 517     3 198     2 065          5 282        988      1 566       619     1 608     16    24 314
Hidalgo                           0               5              5       9         6          5             27          4         13         1        5       0        80
Jalisco                          186           2 246           3 053   3 372     3 587     2 941          7 903       1 234     2 058       852     1 834     39    29 305
México                           45             515             714     697       624       416            867         169       224        106      253       1    4 631
Michoacán                        144           1 582           2 013   2 183     2 116     1 630          4 003        714      1 028       419     1 004      5    16 841
Morelos                          65            1 499           1 867   1 949     1 973     1 601          3 986        900      1 454       559     1 138     30    17 021
Nayarit                          55             533             695     881      1 076      870           2 355        460       624        299      640       2    8 490
Nuevo León                        0              10              9       15         5        13             45          8          6         5        3       0       119
Oaxaca                           21             200             282     321       303       201            464         126       206         83      248       2    2 457
Puebla                           43             595             842     946      1 013      676           1 528        370       568        260      588       1    7 430
Querétaro                        18             173             186     201       210       182            631          81       118         38       84      0     1 922
Quintana Roo                      0              7               7       7         6         12             25          6         1          2        5       0        78
San Luis Potosí                   2              10              18      16        12        10             37          6         20          2        9      0       142
Sinaloa                          50             377             421     484       459       396            955         226       353        155      326      1      4 203
Sonora                           27             280             269     261       177       141            385          76       102         29       82      7     1 836
Tabasco                           0               1              4       3         2          1             5           1         2          1        2       0        22
Tamaulipas                        3              19              12      11         7        12             27          8          7          3       5       3       117
Tlaxcala                          0               4              3       4         2          2             6           1         3          0        3       0        28
Veracruz                          4               9              6       9         15        13             33          9         12         12       16      0       138
Yucatán                           0               1              1       1         4          1             3           2         2          1        0       0        16
Zacatecas                         4             128             200     219       199       168            429         107       137         54      168       9    1 822
TOTAL GLOBAL                     933          12 247          15 868   17 952    17 879    13 764        34 838       6 537     9 883     4 046     9 160    119    143 226
FUENTE : SUIVE/DGE/Secretaría de Salud/Estados Unidos Mexicanos-2009

