                                                                 Casos nuevos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                           Estados Unidos Mexicanos 2011
                                                                                                  Población Masculina
                                                                                                                 Grupos de edad
           Estado
                                   <1              1-4                5-9     10 - 14     15 - 19      20 - 24      25 - 44       45 - 49   50 - 59     60 - 64   65 y +   Ign.   Total
Aguascalientes                      3                72                 89      150         143           90          254            42        55          16        69      0      983
Baja California                     0                5                  12       7           7            5            19            6         1           0         0       0       62
Baja California Sur                 1                3                  5        2           0            3            14            3         4           1         1       0       37
Campeche                            0                3                  2        3           6            2            14            2         2           0         1       0       35
Coahuila                            1                11                 10       7           8            11           31            7         5           1         2       0       94
Colima                              31              345                475      609         774          718         2 124          328       517         205       381      9     6 516
Chiapas                             3                18                 12       9           17           10           42            10        11          7         16      0      155
Chihuahua                           3                31                 20       23          13           16           52            6         4           9         8       0      185
Distrito Federal                    3                14                 26       28          18           29           66            10        12          4         12      0      222
Durango                             19              241                344      401         472          449          993           189       225         114       189      0     3 636
Guanajuato                          74             1 422              1 644    1 959       1 822        1 401        3 409          543       771         331       627      2    14 005
Guerrero                           167             2 189              2 983    3 490       3 361        2 336        5 592         1 075     1 673        691      1 640     21   25 218
Hidalgo                             2                5                  7        14          9            10           15            1         11          0         6       0       80
Jalisco                            189             2 237              2 731    3 073       3 080        2 709        7 217         1 147     1 710        681      1 605     47   26 426
México                              48              547                675      710         589          416         1 013          167       243         113       227      4     4 752
Michoacán                          144             1 448              1 817    1 944       2 069        1 609        3 940          740       934         408       863      5    15 921
Morelos                             68             1 442              1 961    2 116       2 289        1 694        4 476          960      1 494        500      1 161     61   18 222
Nayarit                            136              529                611      712         874          786         2 077          367       538         244       485      3     7 362
Nuevo León                          0                13                 11       9           11           13           37            1         5           1         3       0      104
Oaxaca                              14              206                245      289         269          217          522           102       202          82       221      3     2 372
Puebla                              21              581                766      890         912          665         1 532          336       564         281       648      4     7 200
Querétaro                           14              200                239      285         305          266          781           105       180          71       105      0     2 551
Quintana Roo                        2                8                  6        5           7            9            48            7         5           1         3       0      101
San Luis Potosí                     0                11                 11       12          13           12           33            9         11          1         6       0      119
Sinaloa                             29              365                430      481         469          390          991           238       326         188       329      2     4 238
Sonora                              35              306                336      269         186          194          456            88       144          60        96      2     2 172
Tabasco                             0                4                  3        5           0            4            10            0         2           0         1       0       29
Tamaulipas                          2                11                 14       16          10           10           38            10        6           4         9       2      132
Tlaxcala                            0                1                  4        3           4            3            9             0         0           0         1       0       25
Veracruz                            1                8                  5        8           5            8            39            3         10          5         13      0      105
Yucatán                             0                0                  0        3           1            3            13            1         2           1         4       0       28
Zacatecas                           9               143                186      204         206          206          441            88       129          52       153      2     1 819
TOTAL GLOBAL                      1 019           12 419          15 680      17 736      17 949       14 294        36 298       6 591      9 796      4 072     8 885    167    144 906
FUENTE: SUIVE/DGE/Secretaría de Salud/Estados Unidos Mexicanos-2011

