                                                     Casos nuevos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                Estados Unidos Mexicanos 2012
                                                                                     Población Masculina
                                                                                                     Grupos de edad
         Estado
                               <1            1-4            5-9       10 - 14   15 - 19    20 - 24       25 - 44      45 - 49   50 - 59     60 - 64   65 y +   Ign.   Total
Aguascalientes                   7             73            101        141       160        120           286           37        78          32        68       0   1 103
Baja California                  0              3              6         10         7          5            22            4         3           2         0       0      62
Baja California Sur              1              6              9          4         4          2            20            2         3           1         2       0      54
Campeche                         0              3              1          0         3          4             9            1         2           2         5       0      30
Coahuila                         0              8             17         13         8         14            34            4         3           1         0       0     102
Colima                          17            313            422        561       788        773          2 264         390       601         216       442      15   6 802
Chiapas                          2             10              5         13        16         17            49            7         7           3        15       0     144
Chihuahua                        6             38             24         20        19         22            52           10         9           2         7       0     209
Distrito Federal                 1             13             21         22        24         23            64            9        17          10         3       1     208
Durango                         19            284            347        406       512        453          1 055         214       250          95       201       0   3 836
Guanajuato                     103           1 579          1 987      2 461     1 760      1 461         3 888         708       899         327       801       6   15 980
Guerrero                       186           2 616          3 288      3 846     3 756      2 743         6 758        1 209     1 920        725      1 855     18   28 920
Hidalgo                          2              9              4         15         7         10            23           11         6           7         7       0     101
Jalisco                        188           2 202          2 626      3 185     3 056      2 863         7 408        1 217     1 923        763      1 632     36   27 099
México                          35            667            711        746       615        484          1 022         170       267         116       260       2   5 095
Michoacán                      153           1 567          1 802      1 944     2 054      1 850         4 099         827      1 085        484       901       6   16 772
Morelos                         52           1 250          1 731      1 955     1 988      1 653         3 945         781      1 215        462       981      29   16 042
Nayarit                         47            594            741        785       911        941          2 510         465       696         275       660       3   8 628
Nuevo León                       1              8              9         11        11         18            37            2         2           0         1       0     100
Oaxaca                           9            184            251        270       265        213           486          113       182          83       257       5   2 318
Puebla                          31            551            739        928       948        695          1 553         360       568         250       645       6   7 274
Querétaro                        7            152            191        232       265        303           936          179       210          58       138       0   2 671
Quintana Roo                     1              2              4          3         5          7            16            3         1           1         2       0      45
San Luis Potosí                  0             12             15         18        12          9            47            8        18           5        25       0     169
Sinaloa                         31            417            458        533       489        454          1 194         282       393         173       409       1   4 834
Sonora                          31            323            335        301       222        198           561          130       175          70        92       4   2 442
Tabasco                          1              2              2          1         2          7            10            0         1           0         0       0      26
Tamaulipas                       4             19             14         17        14         18            62            8        17           7        15       0     195
Tlaxcala                         0              1              0          2         2          5             6            2         2           0         1       1      22
Veracruz                         1             13              3         13         8         12            35            2        10           4         9       0     110
Yucatán                          0              1              6          0         3          3             6            0         3           1         0       0      23
Zacatecas                        6            134            172        202       175        188           419           88       107          55       145       1   1 692
TOTAL GLOBAL                   942          13 054         16 042     18 658    18 109     15 568        38 876       7 243     10 673      4 230     9 579     134   153 108
FUENTE: SUIVE/DGE/Secretaría de Salud/Estados Unidos Mexicanos 2012

