                                                            Casos nuevos de Intoxicación por picadura de alacrán (T63.2, X22) por grupos de edad
                                                                                      Estados Unidos Mexicanos 2013
                                                                                                   Hombres
                                                                                                            Grupos de edad
         Estado
                                        <1           1-4                5-9    10 - 14   15 - 19     20 - 24      25 - 44    45 - 49    50 - 59    60 - 64   65 y +   Ign.    Total
Aguascalientes                           5             81                113      107       132         100           240         50         50         31      73       0      982
Baja California                          0              6                  5         7        10           8           20          2          4          0        1      0       63
Baja California Sur                      0              3                  2         5         0           2            8          1          3          0        0      0       24
Campeche                                 0              4                  5         0         0           2           13          0          3          0        2      0       29
Coahuila                                 4             10                  3        13        11          14           30          6          7          1        1      0      100
Colima                                  37            346                380      554       799         717         2 137       390        568        232      411       2    6 573
Chiapas                                  2              9                 17         9         4          13           45          6         16          7        8      0      136
Chihuahua                                2             23                 30        22        15          12           43          7         11          5      11       0      181
Distrito Federal                         1             17                 31        25        35          24           78         12         15          9      14       0      261
Durango                                 31            300                394      500       626         548         1 297       236        320        138      268       0    4 658
Guanajuato                             101          1 493              1 858    2 099     1 696       1 395         3 753       612        865        332      829      12   15 045
Guerrero                               185          2 692              3 272    4 017     4 193       3 141         7 369     1 426      2 134        897    2 124      29   31 479
Hidalgo                                  1              9                 14        14         9           7           24          3          7          3        4      0       95
Jalisco                                209          2 327              2 680    3 075     2 986       2 810         7 616     1 246      2 019        752    1 782      32   27 534
México                                  38            582                796      742       692         517         1 227       226        323        128      306       3    5 580
Michoacán                              115          1 707              1 858    2 049     1 983       1 820         4 235       891      1 137        462      977      55   17 289
Morelos                                 58          1 241              1 649    1 958     2 007       1 694         4 423       898      1 470        564    1 209      35   17 206
Nayarit                                102            617                759      848       913         951         2 347       504        684        409      654      16    8 804
Nuevo León                               1              3                  7         5         4           5           28          1          9          1        4      0       68
Oaxaca                                  10            222                262      296       271         222           533       117        186          93     257       3    2 472
Puebla                                  38            476                625      705       760         681         1 534       366        540        227      538       5    6 495
Querétaro                               15            149                168      259       286         342           857       120        212          68     140       0    2 616
Quintana Roo                             0              7                  4         2         5           5           20          2          1          0        3      0       49
San Luis Potosí                          2             10                 11        14        15           9           45          4         13          2      16       0      141
Sinaloa                                 20            339                437      467       475         378         1 180       275        364        166      344       0    4 445
Sonora                                  36            347                302      297       213         197           529       127        146          60     103       3    2 360
Tabasco                                  0              2                  2         0         1           2            6          2          2          0        1      0       18
Tamaulipas                               5             24                 14        22        14          18           53         11         15          8      17       0      201
Tlaxcala                                 0              0                  0         4         3           2            7          2          2          1        2      0       23
Veracruz                                 2              6                 16         4        18          11           26          6          9          3        6      0      107
Yucatán                                  0              0                  2         0         0           4            3          1          3          0        2      0       15
Zacatecas                               11            158                187      232       246         206           500       131        137          74     184       2    2 068
    TOTAL GLOBAL                     1 031         13 210             15 903   18 351    18 422      15 857       40 226      7 681     11 275      4 673    10 291   197    157 117
FUENTE: SUIVE/DGE/Secretaría de Salud/Estados Unidos Mexicanos 2013

