                              Casos de Intoxicación por picadura de alacrán (T63.2, X22) por fuente de notificación
                                                                         Estados Unidos Mexicanos
                                                                                   2005
                                                                                Masculino
                                                                                              Fuente de notificación
          Estado               SALUD         IMSS-ORD         ISSSTE         IMSS-OP           DIF           PEMEX     SEDENA   SEMAR   OTRAS    Total
Aguascalientes                    845             7                0              0               0              0         0       0        1      853
Baja California                    24            22                1              0               0              0         0       0       24       71
Baja California Sur                46             0                9              0               0              0         0       1        0       56
Campeche                            3             0                3              4               0              0         0       0        2       12
Coahuila                           20            25                1              4               0              0         0       0       21       71
Colima                           3 846         1 176              44              0               0              0        14      32      106     5 218
Chiapas                            78             0               11             28               0              0         7       0        4      128
Chihuahua                          66            27                0             40               0              0         5       0        5      143
Distrito Federal                  140             3               20              0               0              0         4       0        3      170
Durango                          2 465            1                5            317               0              0         1       0        0     2 789
Guanajuato                       5 631         3 183             144              2               0              1        24       0     3 141   12 126
Guerrero                        14 027         1 924             505              2               0              0        15      33        0    16 506
Hidalgo                            87             0                0             10               0              0         0       0        2       99
Jalisco                         17 596         5 894             105              0               0              0        49       0     1 427   25 071
México                           2 638            2                7              0               3              0         3       0      177     2 830
Michoacán                        7 751         1 815             335           3 481              0              0        39      22        0    13 443
Morelos                         11 578         3 631             542              7               0              0         6       0        0    15 764
Nayarit                          4 548          923               35           1 771              2              0       102       0       16     7 397
Nuevo León                         15            12                0              0               0              0         0       0       38       65
Oaxaca                           1 314           42               26            628               2              0        12       6        0     2 030
Puebla                           5 506          644               51           1 638              0              1         0       0       20     7 860
Querétaro                         557          1 147              41              0               0              0         0       0       37     1 782
Quintana Roo                       36            19               13              0               0              0         0       0        0       68
San Luis Potosí                    45            54                0             26               0              3         1       0        2      131
Sinaloa                          1 287          605               39            649              17              0        40      12      356     3 005
Sonora                           1 621          499               50              0               0              0        12       0       73     2 255
Tabasco                             9             2                0              0               0              0         0       0       12       23
Tamaulipas                         55            24                1              8              25              1         1       0       10      125
Tlaxcala                           12             8                0              0               0              0         0       0        0       20
Veracruz                           38            32                0              5               0              0         1       0        0       76
Yucatán                            11             2                1             15               0              0         0       0        0       29
Zacatecas                        1 172           30                4            282               0              0         0       0        0     1 488
TOTAL GLOBAL                    83 067          21 753          1 993           8 917            49               6      336     106     5 477   121 704
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/ SSA

