                                                                        Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                        Estados Unidos Mexicanos
                                                                                                                  2007
                                                                                                                Femenino
                                                                                                                          Mes
          Estado                     Incidencia*   Total        Ene             Feb             Mar              Abr       May     Jun       Jul     Ago      Sep      Oct      Nov     Dic
Aguascalientes                          175.00      993           42              46              76              136       151     109       94       79       77       85       58      40
Baja California                          5.22        75            0               1               1                1         2       7       26       20        8        9        0       0
Baja California Sur                     30.02        77            3               2               2                9         9       7        8        9       14        8        4       2
Campeche                                 7.67        30            3               1               4                4         2       1        4        3        2        2        2       2
Coahuila                                 8.32       107            2               1               4                6         9      10       25       28       15        6        0       1
Colima                                 1555.99     4 539         348             261             280              412       332     359      441      396      404      612      352     342
Chiapas                                  7.29       163           13              10              14               11        11      16       16       12       17       12       15      16
Chihuahua                               12.16       199            9               3               1               17        22      30       28       36       25       16        6       6
Distrito Federal                         5.70       260           14              16              25               34        28      30       30       14       13       24       22      10
Durango                                 433.75     3 385          92             125             212              390       584     465      415      311      267      295      139      90
Guanajuato                              669.11     17 448       1 027            729            1 572            3 058     2 881   1 722    1 468    1 096    1 096    1 357     834     608
Guerrero                               1208.16     19 657       1 528           1 139           1 435            2 016     1 659   1 704    1 929    1 332    1 626    2 213    1 860   1 216
Hidalgo                                  7.65        95            3               2               6               15        10       9       11        9       15       11        3       1
Jalisco                                 800.17     28 038       1 716           1 440           2 472            3 798     3 493   2 650    2 491    1 976    2 273    2 828    1 762   1 139
México                                  45.15      3 269         221             148             220              348       404     298      297      212      274      367      295     185
Michoacán                               671.44     13 920        872             762            1 043            1 481     1 486   1 260    1 231    1 124    1 203    1 640    1 125    693
Morelos                                1891.93     15 950       1 031            996            1 367            2 257     1 669   1 440    1 430    1 212    1 217    1 531    1 085    715
Nayarit                                1485.01     7 192         432             366             434              666       584     749      827      686      727      866      515     340
Nuevo León                               5.76       124            2               4               3               21        21      14        8       18       17        7        7       2
Oaxaca                                  173.61     3 214         241             212             233              354       329     303      309      236      208      355      234     200
Puebla                                  277.11     7 933         652             417             498              997       781     731      772      641      633      776      582     453
Querétaro                               227.84     1 929          97             103             144              243       238     197      199      152      174      174      107     101
Quintana Roo                             8.63        52            1               6               6                5         4       4        6        2        8        5        2       3
San Luis Potosí                         19.13       242            7               8              16               32        26      29       44       25       16       19       13       7
Sinaloa                                 326.49     4 284         168             163             190              284       341     455      540      543      553      574      285     188
Sonora                                  229.08     2 782          42              68             108              251       302     556      430      340      310      239      102      34
Tabasco                                  2.04        21            0               1               1                3         0       2        4        2        2        1        4       1
Tamaulipas                              11.76       183            8               1               8               17        34      22       20       25       19       22        3       4
Tlaxcala                                 4.76        27            0               3               3                2         4       1        4        0        0        5        0       5
Veracruz                                 4.70       176            9               2              17               16        20      19       12       24       30       12        6       9
Yucatán                                  4.78        45            3               3               5                4         7       2        5        8        3        2        2       1
Zacatecas                               274.42     1 956          76              52             111              270       295     209      242      182      183      184       90      62
TOTAL GLOBAL                            257.55     138 365      8 662           7 091          10 511            17 158   15 738   13 410   13 366   10 753   11 429   14 257   9 514   6 476
*Incidencia por 100 000 habitantes femeninos
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

