                                                                       Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                      Estados Unidos Mexicanos
                                                                                                                2007
                                                                                                          Población General
                                                                                                                         Mes
            Estado                   Incidencia*   Total       Ene             Feb            Mar                Abr     May      Jun       Jul     Ago      Sep      Oct      Nov       Dic
Aguascalientes                          174.72      1 933        78              87            150                254      276     221      199      155      158      175      112       68
Baja California                           4.68       140          1               1              2                  4        7      17       35       29       23       17        3        1
Baja California Sur                      24.93       134          4               3              4                 10       16      16       20       19       25        9        6        2
Campeche                                  5.66        44          6               2              5                  4        2       2        5        6        3        4        3        2
Coahuila                                  7.19       185          2               5              6                 13       15      19       43       45       21       12        3        1
Colima                                 1686.63      9 874       785             583            617                777      669     766     1 053     873      924     1 293     803      731
Chiapas                                   6.94       306         26              19             23                 25       25      28       26       20       29       30       29       26
Chihuahua                                11.72       390         16               8             17                 29       45      61       53       60       45       34       12       10
Distrito Federal                          5.23       462         30              30             35                 55       54      55       56       34       21       48       30       14
Durango                                 424.90      6 536       193             247            386                747     1 085    914      831      587      515      556      304      171
Guanajuato                              646.36     32 288      1 897           1 324          2 844              5 462    5 301   3 306    2 906    2 054    1 984    2 505    1 518    1 187
Guerrero                               1227.80     38 672      2 918           2 209          2 748              3 856    3 212   3 431    3 710    2 667    3 189    4 351    3 906    2 475
Hidalgo                                   6.26       150          4               2              6                 22       20      14       17       13       22       17        4        9
Jalisco                                 809.58     55 886      3 541           2 955          4 771              7 029    6 292   5 537    5 275    4 205    4 543    5 571    3 661    2 506
México                                   44.58      6 435       422             301            431                701      746     620      562      444      522      730      582      374
Michoacán                               691.05     27 581      1 876           1 503          1 983              2 792    2 731   2 508    2 534    2 250    2 418    3 259    2 288    1 439
Morelos                                1962.62     32 353      2 118           1 993          2 643              4 508    3 422   2 866    3 035    2 447    2 496    3 140    2 144    1 541
Nayarit                                1649.72     15 908       987             753            895               1 366    1 229   1 666    1 962    1 522    1 658    1 919    1 169     782
Nuevo León                                4.70       204          3               8              7                 27       34      22       22       30       29       10        8        4
Oaxaca                                  155.27      5 517       401             375            431                656      540     494      555      408      375      556      398      328
Puebla                                  268.89     14 893      1 182            779            948               1 898    1 505   1 291    1 516    1 247    1 172    1 416    1 073     866
Querétaro                               221.04      3 668       186             188            259                476      461     373      404      287      343      303      214      174
Quintana Roo                              8.44       103          6              10             14                  8        7       6       13        6       14       11        5        3
San Luis Potosí                          15.15       373         11               9             29                 43       31      48       64       45       31       30       22       10
Sinaloa                                 298.96      7 903       333             284            334                484      615     805      993      992     1 084    1 072     546      361
Sonora                                  195.19      4 809        84             110            201                416      583     924      752      594      513      414      166       52
Tabasco                                   2.02        41          1               1              1                  3        1       6        8        6        5        2        6        1
Tamaulipas                               10.17       317         12               9             21                 35       40      40       33       43       28       39        9        8
Tlaxcala                                  4.80        53          0               3              3                  3        8       6       10        5        4        5        0        6
Veracruz                                  4.63       335         19              14             33                 28       26      35       26       44       49       29       14       18
Yucatán                                   3.68        69          5               4             11                  6        8       3        5       13        5        6        2        1
Zacatecas                               280.49      3 878       149             109            255                500      532     452      465      364      357      394      187      114
TOTAL GLOBAL                           256.58      271 440    17 296          13 928         20 113          32 237      29 538   26 552   27 188   21 514   22 605   27 957   19 227   13 285
*Incidencia por 100 000 habitantes
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

