                                                                        Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                        Estados Unidos Mexicanos
                                                                                                                  2008
                                                                                                               Masculino
                                                                                                                          Mes
          Estado                     Incidencia*   Total        Ene             Feb             Mar              Abr       May     Jun       Jul     Ago      Sep      Oct      Nov      Dic
Aguascalientes                          182,77     1 000          36              53              37              141       137     129       92       70      118       68       60       59
Baja California                           4,30       69            2               1               1                6         2       5       12       13       17        5        1        4
Baja California Sur                      18,71       54            1               1               3                6         7       5        4        9        7        7        3        1
Campeche                                 16,41       64           36               2               1                4         1       7        2        1        4        1        3        2
Coahuila                                  5,92       77            0               0               4                4         8       9       14       10       10        8        5        5
Colima                                 1 876,95    5 588         382             297             332              490       418     394      692      484      591      523      492      493
Chiapas                                   7,70       169          12              15               9               16        17      17       13       11       17       11       15       16
Chihuahua                                11,06       189           3               3              10               16        11      28       28       27       24       22        8        9
Distrito Federal                          4,96       212          14              15               8               26        19      25       17       13       21       18       21       15
Durango                                 397,28     3 020          46             116             152              292       354     424      356      378      296      207      196      203
Guanajuato                              560,08     13 411        625             718             938             2 161     1 994   1 658    1 376     899     1 224     776      454      588
Guerrero                               1 294,31    19 643       1 162           1 191           1 163            1 812     1 562   1 698    1 996    1 456    1 856    1 853    1 983    1 911
Hidalgo                                   8,90       103           4               6               3               11         8      13       17        9        9        8       11        4
Jalisco                                 795,98     27 280       1 514           1 570           1 710            3 226     2 829   2 817    2 777    1 980    2 591    2 389    1 916    1 961
México                                   54,18     3 955         168             157             183              364       361     381      395      284      405      469      427      361
Michoacán                               777,04     14 830        780             798             852             1 518     1 338   1 323    1 559    1 172    1 559    1 437    1 310    1 184
Morelos                                1 894,99    15 384        750             844            1 070            2 104     1 736   1 541    1 405     989     1 434    1 312    1 116    1 083
Nayarit                                1 715,45    8 248         392             341             346              647       583     799     1 058     725     1 107     940      699      611
Nuevo León                                4,48       99            4               1               4                9        13      12       12       13       14        8        3        6
Oaxaca                                  148,28     2 516         135             162             173              329       252     235      249      196      198      195      177      215
Puebla                                  267,98     7 234         369             486             592              965       753     691      691      507      576      586      453      565
Querétaro                               224,71     1 859          53              61              91              255       219     258      192      131      203      188      104      104
Quintana Roo                              4,84       31            0               1               1                7         0       4        5        3        9        0        0        1
San Luis Potosí                           9,50       114           5               3               7               11         9      21       21        8       14        9        3        3
Sinaloa                                 286,87     3 825         116             107             107              210       250     352      521      415      563      512      371      301
Sonora                                  131,30     1 656          39              26              36              142       159     241      294      203      196      154       92       74
Tabasco                                   1,99       20            1               4               3                1         0       2        2        1        2        2        2        0
Tamaulipas                                7,92       125           1               3               7               17        12      12       21       10       23        4       11        4
Tlaxcala                                  3,86       21            0               0               1                1         2       1        6        5        2        1        1        1
Veracruz                                  2,66       93            3              10              11               13         9       5        9        5        9        8        6        5
Yucatán                                   3,07       29            0               3               2                6         1       4        2        4        4        0        3        0
Zacatecas                               293,57     1 962          73              88              83              202       174     256      250      163      247      162      113      151
TOTAL GLOBAL                            253,27     132 880      6 726           7 083           7 940            15 012   13 238   13 367   14 088   10 194   13 350   11 883   10 059   9 940
*Incidencia por 100 000 habitantes masculinos
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

