                             Casos nuevos de Intoxicación por picadura de alacrán (T63.2, X22) por mes de ocurrencia
                                                         Estados Unidos Mexicanos 2011
                                                               Población femenina
                                                                                         Mes de ocurrencia
        Estado
                           Total         Ene        Feb        Mar      Abr     May       Jun         Jul     Ago      Sep      Oct     Nov       Dic
Aguascalientes             1 105          36         70        111      140      118      134         105     105       82       68       79       57
Baja California              67            5          1          3        3        6        6           6      19        8        7        1        2
Baja California Sur          69            1          2          7        5        6       13           5      10        9        3        7        1
Campeche                     59            7          8          4        6        6        5           5       4        6        5        1        2
Coahuila                    109            0          0          1       17       20       20          10      21        9        6        4        1
Colima                     5 265         303        297        390      428      483      578         463     567      535      511      437      273
Chiapas                     208           20         11         16       19       15       19          10      19       26       25       17       11
Chihuahua                   266           12          6         16       12       31       60          39      37       29       15        6        3
Distrito Federal            291           15         28         18       34       28       34          26      32       14       17       22       23
Durango                    4 033         102        198        311      419      580      837         350     506      248      176      189      117
Guanajuato                16 543         482        811       1 540    2 225    2 200    2 115      1 228    1 513    1 350    1 142    1 118     819
Guerrero                  26 066        1 269      1 440      2 206    2 201    2 422    2 809      2 224    2 679    2 225    2 266    2 845    1 480
Hidalgo                     139            0          3         11       10        8       25          19      25       19       11        6        2
Jalisco                   25 788        1 180      1 535      2 543    2 947    3 117    3 292      1 793    2 316    2 091    1 846    1 949    1 179
México                     5 029         144        178        402      493      615      608         384     405      468      522      553      257
Michoacán                 16 185         602        781       1 397    1 547    1 845    1 946      1 214    1 593    1 595    1 332    1 558     775
Morelos                   18 389         609        908       1 711    2 181    2 094    1 943      1 448    1 845    1 689    1 542    1 561     858
Nayarit                    6 283         226        222        416      439      541      849         659     702      671      614      619      325
Nuevo León                  123            0          0          2       17       16       24          15      19       12        8        8        2
Oaxaca                     3 037         149        199        320      295      314      349         269     296      213      171      285      177
Puebla                     8 039         350        478        866      869      837      841         637     824      671      555      716      395
Querétaro                  3 052          72        163        290      380      385      382         242     312      243      218      222      143
Quintana Roo                135            3          9         21       11       10       18          11      17       15       11        8        1
San Luis Potosí             148            6          3          8       14        6       20          29      25       16       10        8        3
Sinaloa                    5 283         161        148        263      282      415      603         550     809      707      640      517      188
Sonora                     3 420          31         46        183      256      291      777         496     530      369      254      154       33
Tabasco                      37            1          2          5        5        2        4           4       6        2        0        6        0
Tamaulipas                  205            4          5         17       15       19       30          33      31       18       19       10        4
Tlaxcala                     38            1          1          0        4        5        6           7       8        2        2        1        1
Veracruz                    153            4          2         24       21       13       12          27      27        9        6        3        5
Yucatán                      45            4          7          3        4        4        2           2       8        4        2        4        1
Zacatecas                  1 877          64         78        167      219      254      263         196     197      142      120      115       62
TOTAL GLOBAL             151 486       5 863       7 640      13 272   15 518   16 706   18 624    12 506    15 507   13 497   12 124   13 029   7 200
FUENTE: SUIVE/DGE/Secretaríade Salud/Estados Unidos Mexicanos- 2011

