                                                                       Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                      Estados Unidos Mexicanos
                                                                                                                2005
                                                                                                              Femenino
                                                                                                                         Mes
          Estado                      Tasa*       Total        Ene             Feb            Mar                Abr      May     Jun       Jul     Ago      Sep      Oct      Nov      Dic
Aguascalientes                        169,82        908          22              56             57                109      173      94       85       91       85       58       55       23
Baja California                        5,38         78            3               1              2                 7        9        5        7       21       11        4        4        4
Baja California Sur                   25,78         63            1               4              3                 3        10       9        5       10        9        4        3        2
Campeche                               6,27         24            5               3              4                 1        1        2        2        2        1        2        1        0
Coahuila                               5,07         64            2               0              1                 4        8       14       13       12        7        1        2        0
Colima                               1525,43      4 508         302             336            303                368      405     377      369      423      387      505      464      269
Chiapas                                7,19        158            9               9             18                 12       22      12       14       17        9       11       13       12
Chihuahua                             10,74        182            2               6              9                 11       35      15       16       38       24       12       12        2
Distrito Federal                       4,95        224           16              14             20                 22       27      19       18       30       11       19       11       17
Durango                              381,91       2 986         106              87            117                271      544     441      346      314      274      209      171      106
Guanajuato                           549,79       14 293        475             815           1 015              1 862    2 328   1 639     983     1 164    1 012    1 122    1 145     733
Guerrero                             1013,85      16 648        906             941           1 320              1 446    1 656   1 285    1 358    1 614    1 363    1 719    1 971    1 069
Hidalgo                               12,43        151            3               5             11                 20       20      13       10       31       12       15        7        4
Jalisco                              735,86       25 242       1 301           1 317          2 133              2 857    3 528   2 349    1 899    2 070    2 054    2 171    2 245    1 318
México                                39,86       2 927         137             143            247                344      336     310      181      202      236      292      320      179
Michoacán                            629,17       13 593        621             699            986               1 314    1 540   1 285     982     1 168    1 166    1 402    1 631     799
Morelos                              1825,32      15 795        517             837           1 459              1 862    1 909   1 363    1 131    1 235    1 229    1 922    1 593     738
Nayarit                              1229,03      6 069         272             308            409                415      691     496      526      691      539      708      692      322
Nuevo León                             2,71         57            2               0              3                 5        6        8       12        6        7        3        4        1
Oaxaca                               140,83       2 662          99             162            256                248      316     208      236      286      215      204      282      150
Puebla                               310,64       8 715         390             505            945               1 081    1 054    720      673      811      610      687      743      496
Querétaro                            246,97       1 991         101              95            132                236      284     253      149      146      173      168      157       97
Quintana Roo                          14,03         74            4               3              8                 7        5        9        5        8        8        5        6        6
San Luis Potosí                       15,72        192            6               3             15                 24       30      17       28       34       17        7       10        1
Sinaloa                              276,42       3 780         143             172            216                282      345     299      375      551      511      400      331      155
Sonora                               244,42       2 993          44              43            104                158      403     471      434      448      393      262      147       86
Tabasco                                1,46         15            0               3              0                 2        3        2        2        1        1        0        1        0
Tamaulipas                            11,58        182            7               4             14                 17       21      27       20       29       15       11       14        3
Tlaxcala                               3,15         17            0               1              2                 0        2        3        1        2        3        2        1        0
Veracruz                               2,79        103            5               5             10                 16       17      10        8       13        6        4        7        2
Yucatán                                3,20         29            2               1              2                 1        1        2        2        6        6        1        3        2
Zacatecas                            213,45       1 549          50              57             74                144      256     174      168      172      163      114      120       57
TOTAL GLOBAL                             235,92   126 272      5 553          6 635           9 895          13 149      15 985   11 931   10 058   11 646   10 557   12 044   12 166   6 653
*Tasa por 100 000 habitantes femeninos
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

