                                                                        Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                       Estados Unidos Mexicanos
                                                                                                                 2005
                                                                                                           Población General
                                                                                                                         Mes
           Estado              Tasa*           Total           Ene             Feb            Mar                Abr     May      Jun       Jul     Ago      Sep      Oct      Nov       Dic
Aguascalientes                 168.68          1 761             55              92            114                206      289     182      165      186      170      132      117       53
Baja California                 5.05             149              5               3              5                  8       15      13       20       33       23        8       9        7
Baja California Sur             23.68            119              1               9              5                  4       19      17       14       21       14        6       7        2
Campeche                        4.64             36               5               6              7                  3        2       2        2        4        1        2       2        0
Coahuila                        5.31             135              4               4              4                  5       18      33       24       26       10        4       3        0
Colima                         1644.71         9 726            655             692            648                745      772     782      852      973      887     1 124    1 009     587
Chiapas                         6.47             286             16              20             31                 21       41      29       20       25       16       21       25       21
Chihuahua                       9.47             325              8               8             16                 22       54      27       22       67       48       29       19       5
Distrito Federal                4.47             394             26              19             40                 34       42      31       41       51       25       36       24       25
Durango                        371.40          5 775            213             174            234                538      972     847      658      626      489      450      372      202
Guanajuato                     521.56          26 419           879            1 506          1 937              3 435    4 180   2 956    1 944    2 175    1 906    2 027    2 076    1 398
Guerrero                       1016.81         33 154          1 759           1 900          2 560              2 760    3 282   2 646    2 717    3 252    2 672    3 417    4 008    2 181
Hidalgo                         10.46            250              5               9             14                 28       33      24       22       51       22       21       13       8
Jalisco                        738.29          50 313          2 626           2 685          4 173              5 265    6 706   4 670    4 097    4 352    4 127    4 459    4 481    2 672
México                          39.24          5 757            266             270            455                638      650     622      423      442      464      537      644      346
Michoacán                      639.60          27 036          1 260           1 343          1 943              2 457    2 959   2 468    2 123    2 419    2 334    2 804    3 253    1 673
Morelos                        1837.76         31 559          1 074           1 659          2 806              3 477    3 851   2 673    2 431    2 620    2 465    3 737    3 260    1 506
Nayarit                        1349.77         13 466           638             711            857                910     1 345   1 116    1 293    1 578    1 239    1 593    1 470     716
Nuevo León                      2.88             122              2               2              5                  9       10      14       25       14       14       10       13       4
Oaxaca                         126.24          4 692            194             285            453                448      549     370      388      483      395      374      474      279
Puebla                         299.35          16 575           785            1 001          1 807              1 944    1 970   1 403    1 276    1 480    1 219    1 311    1 419     960
Querétaro                      235.65          3 773            171             180            244                404      545     474      302      305      370      324      277      177
Quintana Roo                    13.01            142              7               8             16                 10       11      16       12       16       14       13       10       9
San Luis Potosí                 13.41            323             13              10             25                 31       50      28       46       56       27       21       14       2
Sinaloa                        244.84          6 785            283             294            381                459      587     547      681     1 017     881      738      641      276
Sonora                         211.01          5 248             71              78            187                317      705     810      738      792      668      468      251      163
Tabasco                         1.84             38               0               3              0                  3       15       4        3        3        2        3       2        0
Tamaulipas                      9.70             307             11               5             17                 33       56      36       31       39       29       26       18       6
Tlaxcala                        3.45             37               0               2              5                  0        3       7        3        4        6        6       1        0
Veracruz                        2.45             179              6              12             14                 26       30      14       15       19       12       15       13       3
Yucatán                         3.21             58               2               1              2                  1        3       8        3       11        7       12       3        5
Zacatecas                      214.35          3 037            109             121            145                278      492     329      325      340      287      226      243      142
TOTAL GLOBAL                   232.95          247 976         11 149         13 112          19 150         24 519      30 256   23 198   20 716   23 480   20 843   23 954   24 171   13 428
*Tasa por 100 000 habitantes
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

