                                                                       Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                      Estados Unidos Mexicanos
                                                                                                                2005
                                                                                                              Masculino
                                                                                                                         Mes
          Estado                      Tasa*     Total          Ene             Feb            Mar                Abr      May     Jun       Jul     Ago      Sep      Oct      Nov      Dic
Aguascalientes                        167.48     853             33              36             57                 97      116      88       80       95       85       74       62       30
Baja California                        4.74       71             2               2              3                  1        6       8        13       12       12       4        5         3
Baja California Sur                    21.68      56             0               5              2                  1        9       8        9        11       5        2         4        0
Campeche                               3.05       12             0               3              3                  2        1       0        0        2         0        0        1        0
Coahuila                               5.54       71             2               4              3                  1        10      19       11       14       3        3        1         0
Colima                               1 763.87   5 218           353             356            345                377      367     405      483      550      500      619      545      318
Chiapas                                5.77      128             7               11             13                 9        19      17       6        8        7        10       12        9
Chihuahua                              8.23      143             6               2              7                  11       19      12       6        29       24       17       7         3
Distrito Federal                       3.96      170             10              5              20                 12       15      12       23       21       14       17       13       8
Durango                               360.76    2 789           107              87            117                267      428     406      312      312      215      241      201       96
Guanajuato                            491.81    12 126          404             691            922               1 573    1 852   1 317     961     1 011     894      905      931      665
Guerrero                             1 019.82   16 506          853             959           1 240              1 314    1 626   1 361    1 359    1 638    1 309    1 698    2 037    1 112
Hidalgo                                8.43       99             2               4              3                  8        13      11       12       20       10       6        6         4
Jalisco                               740.76    25 071         1 325           1 368          2 040              2 408    3 178   2 321    2 198    2 282    2 073    2 288    2 236    1 354
México                                 38.61    2 830           129             127            208                294      314     312      242      240      228      245      324      167
Michoacán                             650.50    13 443          639             644            957               1 143    1 419   1 183    1 141    1 251    1 168    1 402    1 622     874
Morelos                              1 850.40   15 764          557             822           1 347              1 615    1 942   1 310    1 300    1 385    1 236    1 815    1 667     768
Nayarit                              1 468.10   7 397           366             403            448                495      654     620      767      887      700      885      778      394
Nuevo León                             3.04       65             0               2              2                  4        4       6        13       8        7         7        9        3
Oaxaca                                111.13    2 030            95             123            197                200      233     162      152      197      180      170      192      129
Puebla                                287.75    7 860           395             496            862                863      916     683      603      669      609      624      676      464
Querétaro                             224.17    1 782            70              85            112                168      261     221      153      159      197      156      120       80
Quintana Roo                           12.06      68             3               5              8                  3        6       7        7        8        6         8        4        3
San Luis Potosí                        11.03     131             7               7              10                 7        20      11       18       22       10       14       4         1
Sinaloa                               214.08    3 005           140             122            165                177      242     248      306      466      370      338      310      121
Sonora                                178.61    2 255            27              35             83                159      302     339      304      344      275      206      104       77
Tabasco                                2.21       23             0               0              0                  1        12      2        1        2        1         3        1        0
Tamaulipas                             7.85      125             4               1              3                  16       35      9        11       10       14       15       4         3
Tlaxcala                               3.76       20             0               1              3                  0        1       4        2        2         3        4        0        0
Veracruz                               2.11       76             1               7              4                  10       13      4        7        6        6        11       6         1
Yucatán                                3.21       29             0               0              0                  0        2       6        1        5         1       11        0        3
Zacatecas                             215.29    1 488            59              64             71                134      236     155      157      168      124      112      123       85
TOTAL GLOBAL                          229.94    121 704        5 596          6 477           9 255          11 370      14 271   11 267   10 658   11 834   10 286   11 910   12 005   6 775
*Tasa por 100 000 habitantes masculinos
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

