                                                                       Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                      Estados Unidos Mexicanos
                                                                                                                2006
                                                                                                              Femenino
                                                                                                                         Mes
          Estado                      Tasa*    Total           Ene             Feb            Mar                Abr      May     Jun       Jul     Ago      Sep      Oct      Nov     Dic
Aguascalientes                       183.39     995              48              45             79                153      150     102       79      122       77       71       44      25
Baja California                        4.91      73              6               3              1                  3        4       4        15       12       8        11       5       1
Baja California Sur                   33.55      84              1               1              4                  2        10      7        14       13       12       10       7       3
Campeche                               7.20      28              0               2              2                  1        1       4        3        5        4        3        2        1
Coahuila                               6.58      84              1               2              4                  4        9       11       14       16       13       6        2       2
Colima                               1620.14   4 848            420             268            358                450      513     420      356      502      499      495      356     211
Chiapas                                5.16     115              13              9              12                 12       6       7        7        10       10       7        12      10
Chihuahua                             10.68     184              7               4              6                  13       28      24       18       33       20       16       12      3
Distrito Federal                       5.57     252              20              10             19                 30       35      35       20       14       20       19       13      17
Durango                              398.49    3 128             99             115            196                361      515     414      326      343      246      256      148     109
Guanajuato                           652.88    17 099          1 063            938           1 565              2 508    2 696   1 588    1 234    1 498    1 209    1 449     817     534
Guerrero                             1265.65   20 855          1 421           1 308          1 614              1 800    2 290   1 907    1 575    1 935    1 693    2 260    1 842   1 210
Hidalgo                               11.11     136              7               7              10                 14       12      15       16       21       12       9        6       7
Jalisco                              852.03    29 468          1 932           1 937          2 527              3 386    3 856   2 500    2 102    2 554    2 312    2 957    2 131   1 274
México                                45.50    3 392            172             164            234                354      448     288      211      300      300      381      328     212
Michoacán                            738.99    16 018          1 059            987           1 379              1 676    2 119   1 472    1 044    1 338    1 182    1 732    1 216    814
Morelos                              1796.04   15 723           912             981           1 329              1 736    2 185   1 394    1 137    1 456    1 326    1 559     978     730
Nayarit                              1391.45   6 915            325             365            415                485      687     631      654      835      686      932      548     352
Nuevo León                             4.68     100              1               1              1                  13       14      6        8        20       17       16       2       1
Oaxaca                               148.70    2 828            209             212            263                325      363     232      218      273      176      240      162     155
Puebla                               321.26    9 103            645             733            796               1 000    1 073    687      694      810      664      896      605     500
Querétaro                            284.72    2 336            123             141            185                246      301     223      162      200      186      272      135     162
Quintana Roo                          13.00      71              2               4              4                  7        12      9        9        7        8        7        1       1
San Luis Potosí                       19.00     233              9               3              13                 25       43      37       18       41       22       14       4       4
Sinaloa                              310.39    4 281            159             150            147                211      514     399      353      554      558      672      349     215
Sonora                               221.07    2 748             50              77             78                184      380     422      391      445      310      254      104      53
Tabasco                                1.82      19              1               0              1                  2        2       2        0        3        4        2        2        0
Tamaulipas                            11.50     184              6               4              8                  20       15      25       22       32       21       21       7       3
Tlaxcala                               4.20      23              1               2              3                  4        5       1        1        3        1        1        0        1
Veracruz                               4.24     157              7               5              13                 19       12      5        22       27       19       16       5       7
Yucatán                                3.93      36              4               2              3                  1        5       7        1        9        1        1        2        0
Zacatecas                            266.48    1 936             99              91            144                232      296     201      175      205      152      148      101      92
TOTAL GLOBAL                         265.27    143 452         8 822          8 571          11 413          15 277      18 599   13 079   10 899   13 636   11 768   14 733   9 946   6 709
*Tasa por 100 000 habitantes femeninos
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

