                                                                          Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                         Estados Unidos Mexicanos
                                                                                                                   2006
                                                                                                             Población General
                                                                                                                          Mes
           Estado                Tasa*         Total           Ene             Feb            Mar                Abr     May      Jun       Jul     Ago      Sep      Oct      Nov       Dic
Aguascalientes                 188.79          2 000            108              84            166                314     291      181       160     208      175      156       90        67
Baja California                  3.96            120             6               3              1                  6       9        6         25      20       20       17        6         1
Baja California Sur             27.93            144             1               4              10                  9      14       13        23      23       19       14       10         4
Campeche                         4.44             35              1              3              2                  1       1        4         3        5        4        8        2         1
Coahuila                         5.75            148             1               3              6                  7       16       25        19      24       24       16        5         2
Colima                         1728.05         10 343           847             611            707                846    1 034     924       812    1 067    1 045    1 095     857       498
Chiapas                          4.71            211             19              14             25                 18      21       14        17      21       16       15       16        15
Chihuahua                       10.00            349             12              12             14                 26      61       42        36      54       35       31       22         4
Distrito Federal                 5.09            449             32              15             31                 46      76       53        33      36       43       35       22        27
Durango                         389.10          6 070           172             242            366                661     994      797       639     643      532      488      292       244
Guanajuato                      625.50         31 909          1 919           1 706          2 908              4 523   5 031    2 981    2 340    2 876    2 245    2 765    1 536    1 079
Guerrero                       1276.09         41 725          2 714           2 556          3 098              3 438   4 521    3 792    3 092    3 777    3 294    4 672    4 054    2 717
Hidalgo                         10.59            255             11              16             16                 23      23       22        30      47       22       20       16         9
Jalisco                         868.62         59 662          3 872           3 733          4 823              6 437   7 456    5 237    4 409    5 293    4 654    6 272    4 614    2 862
México                          45.06          6 711            322             353            460                626     936      562       405     575      577      774      695       426
Michoacán                       750.17         31 799          2 096           1 906          2 507              3 098   3 962    3 022    2 204    2 818    2 366    3 458    2 580    1 782
Morelos                        1831.24         31 787          1 748           1 896          2 556              3 286   4 455    2 849    2 288    3 101    2 619    3 242    2 199    1 548
Nayarit                        1464.36         14 701           720             743            827                976    1 363    1 338    1 433    1 826    1 458    1 984    1 201      832
Nuevo León                       4.06            175              4               2              2                 31      21       14        15      31       27       23        4         1
Oaxaca                          133.20          4 980           355             373            437                590     673      425       361     477      295      423      299       272
Puebla                          310.33         17 352          1 191           1 328          1 531              1 876   2 099    1 345    1 277    1 514    1 193    1 786    1 221      991
Querétaro                       262.41          4 275           231             227            320                434     551      459       317     385      339      490      253       269
Quintana Roo                    12.12            137              8               6             12                 12      16       19        16      15       15       13        2         3
San Luis Potosí                 16.41            397             18              9              20                 36      61       58        39      73       38       28       10         7
Sinaloa                         274.98          7 683           268             255            254                374     790      672       714    1 022    1 054    1 205     659       416
Sonora                          183.90          4 643            94             150            135                326     635      721       676     752      493      403      167        91
Tabasco                          1.29             27              2               0              2                  4       3        2         0       5        4        2        3         0
Tamaulipas                      10.12            326              9               9             16                 34      37       42        42      56       39       30        8         4
Tlaxcala                         3.58             39              2               6              3                  6       8        3         2       4        1        1        1         2
Veracruz                         3.47            254             13              11             20                 31      20        8        37      43       31       23        8         9
Yucatán                          3.39             62              6               5              6                  4       7       10         1      13        1        3        3         3
Zacatecas                       270.11          3 830           185             187            290                462     573      373       361     455      290      312      174       168
TOTAL GLOBAL                   262.82         282 598         16 987          16 468         21 571          28 561      35 758   26 013   21 826   27 259   22 968   29 804   21 029   14 354
*Tasa por 100 000 habitantes
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

