                                                                       Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                      Estados Unidos Mexicanos
                                                                                                                2006
                                                                                                              Masculino
                                                                                                                         Mes
          Estado                      Tasa*     Total          Ene             Feb            Mar                Abr     May      Jun       Jul     Ago      Sep      Oct      Nov      Dic
Aguascalientes                        194.46    1 005            60              39             87                161     141       79       81       86       98       85       46       42
Baja California                        3.05       47             0               0              0                  3       5        2        10       8        12       6        1        0
Baja California Sur                    22.63      60             0               3              6                  7       4        6        9        10       7        4        3        1
Campeche                               1.75        7             1               1              0                  0       0        0        0        0        0        5        0        0
Coahuila                               4.93       64             0               1              2                  3       7        14       5        8        11       10       3        0
Colima                               1 835.93   5 495           427             343            349                396     521      504      456      565      546      600      501      287
Chiapas                                4.27       96             6               5              13                 6       15       7        10       11       6        8        4        5
Chihuahua                              9.34      165             5               8              8                  13      33       18       18       21       15       15       10       1
Distrito Federal                       4.59      197             12              5              12                 16      41       18       13       22       23       16       9        10
Durango                               379.59    2 942            73             127            170                300     479      383      313      300      286      232      144      135
Guanajuato                            596.61    14 810          856             768           1 343              2 015   2 335    1 393    1 106    1 378    1 036    1 316     719      545
Guerrero                             1 286.71   20 870         1 293           1 248          1 484              1 638   2 231    1 885    1 517    1 842    1 601    2 412    2 212    1 507
Hidalgo                                10.05     119             4               9              6                  9       11       7        14       26       10       11       10       2
Jalisco                               885.44    30 194         1 940           1 796          2 296              3 051   3 600    2 737    2 307    2 739    2 342    3 315    2 483    1 588
México                                 44.62    3 319           150             189            226                272     488      274      194      275      277      393      367      214
Michoacán                             761.87    15 781         1 037            919           1 128              1 422   1 843    1 550    1 160    1 480    1 184    1 726    1 364     968
Morelos                              1 867.06   16 064          836             915           1 227              1 550   2 270    1 455    1 151    1 645    1 293    1 683    1 221     818
Nayarit                              1 535.83   7 786           395             378            412                491     676      707      779      991      772     1 052     653      480
Nuevo León                             3.46       75             3               1              1                  18      7        8        7        11       10       7        2        0
Oaxaca                                117.15    2 152           146             161            174                265     310      193      143      204      119      183      137      117
Puebla                                299.10    8 249           546             595            735                876    1 026     658      583      704      529      890      616      491
Querétaro                             239.78    1 939           108              86            135                188     250      236      155      185      153      218      118      107
Quintana Roo                           11.30      66             6               2              8                  5       4        10       7        8        7        6        1        2
San Luis Potosí                        13.75     164             9               6              7                  11      18       21       21       32       16       14       6        3
Sinaloa                               240.46    3 402           109             105            107                163     276      273      361      468      496      533      310      201
Sonora                                147.86    1 895            44              73             57                142     255      299      285      307      183      149       63       38
Tabasco                                0.76        8             1               0              1                  2       1        0        0        2        0        0        1        0
Tamaulipas                             8.77      142             3               5              8                  14      22       17       20       24       18       9        1        1
Tlaxcala                               2.96       16             1               4              0                  2       3        2        1        1        0        0        1        1
Veracruz                               2.68       97             6               6              7                  12      8        3        15       16       12       7        3        2
Yucatán                                2.85       26             2               3              3                  3       2        3        0        4        0        2        1        3
Zacatecas                             273.92    1 894            86              96            146                230     277      172      186      250      138      164       73       76
TOTAL GLOBAL                          260.34    139 146        8 165          7 897          10 158          13 284      17 159   12 934   10 927   13 623   11 200   15 071   11 083   7 645
*Tasa por 100 000 habitantes masculinos
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

