                                                                         Casos de Intoxicación por picadura de alacrán (T63.2, X22) por mes
                                                                                                         Estados Unidos Mexicanos
                                                                                                                   2008
                                                                                                             Población General
                                                                                                                          Mes
            Estado                   Incidencia*   Total         Ene            Feb             Mar              Abr      May       Jun      Jul      Ago      Sep      Oct      Nov      Dic
Aguascalientes                          176,65      1 986          84             97              85              300      243       255      192      125      242      157      109       97
Baja California                           5,03       155            3              1               1                9        8         9       35       24       41        9        8        7
Baja California Sur                      21,76       120            3              2               6               14       12         8       17       16       17       12        9        4
Campeche                                 15,89       125           62              6               4                6        5        10        7        2       11        3        4        5
Coahuila                                  7,11       185            3              2               5               14       18        36       30       22       20       15        9       11
Colima                                 1746,56     10 361         682            568             615              930      806       768     1 174     919     1 054     994      898      953
Chiapas                                   8,77       391           27             31              22               43       42        35       35       28       33       31       33       31
Chihuahua                                12,29       413            6             11              16               42       35        51       62       58       67       38       15       12
Distrito Federal                          5,44       481           29             28              29               64       45        50       52       34       41       40       41       28
Durango                                 404,89      6 254         133            261             309              628      728       921      803      678      617      454      356      366
Guanajuato                              570,27     28 632        1 281          1 583           2 041            4 776    4 384     3 521    2 784    1 814    2 453    1 686    1 007    1 302
Guerrero                               1276,08     40 141        2 344          2 479           2 441            3 998    3 328     3 526    3 959    2 981    3 847    3 733    3 802    3 703
Hidalgo                                   9,46       228           12             10              11               32       23        32       34       19       17       16       13        9
Jalisco                                 778,32     54 177        2 965          3 210           3 723            6 910    5 980     5 579    5 130    3 646    4 975    4 690    3 620    3 749
México                                   55,46      8 119         350            343             372              817      740       765      807      561      823      960      862      719
Michoacán                               771,78     30 701        1 590          1 746           1 841            3 389    3 071     2 828    2 837    2 313    2 961    2 869    2 750    2 506
Morelos                                1848,58     30 720        1 523          1 744           2 195            4 357    3 454     2 974    2 760    1 975    2 726    2 592    2 205    2 215
Nayarit                                1564,43     15 128         736            646             664             1 297    1 210     1 452    1 853    1 287    1 937    1 640    1 250    1 156
Nuevo León                                5,30       233            4              5               7               21       26        32       30       42       33       18        6        9
Oaxaca                                  164,60      5 847         333            397             416              711      591       546      561      468      446      460      406      512
Puebla                                  275,98     15 443         758           1 008           1 297            2 080    1 617     1 445    1 427    1 091    1 266    1 265    1 007    1 182
Querétaro                               250,17      4 228         134            178             172              573      483       566      426      336      437      445      236      242
Quintana Roo                              6,79        86            5              4               5               15        8         8        8        6       20        2        3        2
San Luis Potosí                          14,27       353           16             10              23               44       25        47       55       46       44       16        7       20
Sinaloa                                 320,47      8 487         251            243             273              493      599       742     1 133     923     1 217    1 126     813      674
Sonora                                  170,77      4 248          91             60             111              337      405       634      740      513      553      409      215      180
Tabasco                                   2,60        53            2              7               4                5        5         5        5        9        4        3        4        0
Tamaulipas                                9,73       307            3              4              15               38       35        35       46       39       43       17       24        8
Tlaxcala                                  4,64        52            0              3               2                4        4         7       14       10        3        1        1        3
Veracruz                                  3,33       242            7             23              25               36       30        18       23       16       20       19       13       12
Yucatán                                   3,32        63            2              6               6                9        3         9        5        6        9        2        6        0
Zacatecas                               290,79      4 017         153            162             172              458      395       509      514      309      502      326      233      284
TOTAL GLOBAL                           254,94      271 976      13 592          14 878          16 908           32 450   28 358    27 423   27 558   20 316   26 479   24 048   19 965   20 001
*Incidencia por 100 000 habitantes
FUENTE : Sistema Único de Información para la Vigilancia Epidemiológica/Dirección General de Epidemiología/SSA

