                           Casos nuevos de Intoxicación por picadura de alacrán (T63.2, X22) por mes de ocurrencia
                                                       Estados Unidos Mexicanos 2011
                                                             Población masculina
                                                                                          Mes de ocurrencia
           Estado
                               Total       Ene        Feb       Mar      Abr     May       Jun       Jul       Ago      Sep      Oct      Nov     Dic
Aguascalientes                  983          44        63         99     104      100      122        74        98       85       66       81       47
Baja California                  62          0         3          4       3        11       7         11        6        3        9         3       2
Baja California Sur              37          1         0          1       2         3       3         3         7        12       4         1       0
Campeche                         35          3         2          5       7         2       1         4         3        2        2         4       0
Coahuila                         94          0         0          5       8         6       16        11        27       9        6         6       0
Colima                         6 516        312       304        409     430      572      652       659       757      655      696      681      389
Chiapas                         155          13        10         21      6        16       9         12        21       12       13       14       8
Chihuahua                       185          4         3          18      9        12       25        24        30       24       21        6       9
Distrito Federal                222          16        20         20      20       28       23        18        27       18       9        11       12
Durango                        3 636         97       151        277     387      478      692       322       483      242      200      182      125
Guanajuato                    14 005        469       683       1 286   1 858    1 674    1 820     1 202     1 387    1 105     948      860      713
Guerrero                      25 218       1 314     1 330      1 838   1 839    2 252    2 930     2 169     2 396    2 125    2 247    3 212    1 566
Hidalgo                          80          0         0          5       4        14       14        4         15       7        8         6       3
Jalisco                       26 426       1 184     1 448      2 318   2 545    2 899    3 274     2 244     2 686    2 176    2 097    2 230    1 325
México                         4 752        123       162        325     401      550      572       379       455      477      451      602      255
Michoacán                     15 921        585       741       1 161   1 354    1 513    1 857     1 413     1 720    1 558    1 452    1 650     917
Morelos                       18 222        558       748       1 465   1 979    2 098    2 156     1 605     1 959    1 752    1 561    1 480     861
Nayarit                        7 362        261       287        418     403      538      993       837       917      805      723      764      416
Nuevo León                      104          1         3          5       6        10       16        8         29       14       9         3       0
Oaxaca                         2 372        100       154        249     221      231      264       235       223      176      156      230      133
Puebla                         7 200        325       448        781     728      661      818       558       700      581      534      691      375
Querétaro                      2 551         96       101        204     300      272      355       228       267      252      175      211       90
Quintana Roo                    101          3         0          10      15       11       10        7         12       11       10        8       4
San Luis Potosí                 119          4         1          6       10        8       13        21        20       12       11        9       4
Sinaloa                        4 238        132       123        209     222      297      452       463       739      523      497      404      177
Sonora                         2 172         26        25         96     160      196      464       366       314      216      168      103       38
Tabasco                          29          0         1          3       4         0       3         2         3        4        1         8       0
Tamaulipas                      132          2         2          8       11       14       19        23        16       15       11        7       4
Tlaxcala                         25          0         2          3       0         2       2         2         8        1        0         5       0
Veracruz                        105          3         5          14      13        7       9         14        13       8        5         6       8
Yucatán                          28          1         2          2       1         3       2         4         4        2        4         0       3
Zacatecas                      1 819         50       101        169     216      215      254       166       209      140      114      115       70
TOTAL GLOBAL                  144 906     5 727      6 923     11 434   13 266   14 693   17 847   13 088     15 551   13 022   12 208   13 593   7 554
FUENTE: SUIVE/DGE/Secretaría de Salud/Estados Unidos Mexicanos-2011

