"Estado","a�o","sexo","cortes.edad","numerocasos"
"Aguascalientes","2003","F","<1",3
"Baja California","2003","F","<1",1
"Baja California Sur","2003","F","<1",1
"Campeche","2003","F","<1",0
"Coahuila","2003","F","<1",1
"Colima","2003","F","<1",18
"Chiapas","2003","F","<1",1
"Chihuahua","2003","F","<1",5
"Distrito Federal","2003","F","<1",1
"Durango","2003","F","<1",23
"Guanajuato","2003","F","<1",80
"Guerrero","2003","F","<1",140
"Hidalgo","2003","F","<1",1
"Jalisco","2003","F","<1",174
"México","2003","F","<1",66
"Michoacán","2003","F","<1",162
"Morelos","2003","F","<1",134
"Nayarit","2003","F","<1",60
"Nuevo León","2003","F","<1",3
"Oaxaca","2003","F","<1",13
"Puebla","2003","F","<1",34
"Querétaro","2003","F","<1",35
"Quintana Roo","2003","F","<1",0
"San Luis Potosi","2003","F","<1",1
"Sinaloa","2003","F","<1",41
"Sonora","2003","F","<1",569
"Tabasco","2003","F","<1",1
"Tamaulipas","2003","F","<1",0
"Tlaxcala","2003","F","<1",0
"Veracruz","2003","F","<1",3
"Yucatán","2003","F","<1",3
"Zacatecas","2003","F","<1",8
"Aguascalientes","2003","F","1-4",43
"Baja California","2003","F","1-4",1
"Baja California Sur","2003","F","1-4",7
"Campeche","2003","F","1-4",3
"Coahuila","2003","F","1-4",1
"Colima","2003","F","1-4",266
"Chiapas","2003","F","1-4",14
"Chihuahua","2003","F","1-4",25
"Distrito Federal","2003","F","1-4",12
"Durango","2003","F","1-4",182
"Guanajuato","2003","F","1-4",946
"Guerrero","2003","F","1-4",1273
"Hidalgo","2003","F","1-4",7
"Jalisco","2003","F","1-4",1868
"México","2003","F","1-4",364
"Michoacán","2003","F","1-4",1349
"Morelos","2003","F","1-4",1359
"Nayarit","2003","F","1-4",579
"Nuevo León","2003","F","1-4",9
"Oaxaca","2003","F","1-4",155
"Puebla","2003","F","1-4",549
"Querétaro","2003","F","1-4",170
"Quintana Roo","2003","F","1-4",4
"San Luis Potosi","2003","F","1-4",6
"Sinaloa","2003","F","1-4",329
"Sonora","2003","F","1-4",942
"Tabasco","2003","F","1-4",2
"Tamaulipas","2003","F","1-4",9
"Tlaxcala","2003","F","1-4",1
"Veracruz","2003","F","1-4",10
"Yucatán","2003","F","1-4",9
"Zacatecas","2003","F","1-4",110
"Aguascalientes","2003","F","5-9",70
"Baja California","2003","F","5-9",5
"Baja California Sur","2003","F","5-9",2
"Campeche","2003","F","5-9",6
"Coahuila","2003","F","5-9",1
"Colima","2003","F","5-9",376
"Chiapas","2003","F","5-9",5
"Chihuahua","2003","F","5-9",28
"Distrito Federal","2003","F","5-9",15
"Durango","2003","F","5-9",261
"Guanajuato","2003","F","5-9",1310
"Guerrero","2003","F","5-9",1506
"Hidalgo","2003","F","5-9",10
"Jalisco","2003","F","5-9",2322
"México","2003","F","5-9",392
"Michoacán","2003","F","5-9",1642
"Morelos","2003","F","5-9",1495
"Nayarit","2003","F","5-9",722
"Nuevo León","2003","F","5-9",31
"Oaxaca","2003","F","5-9",216
"Puebla","2003","F","5-9",861
"Querétaro","2003","F","5-9",171
"Quintana Roo","2003","F","5-9",1
"San Luis Potosi","2003","F","5-9",6
"Sinaloa","2003","F","5-9",388
"Sonora","2003","F","5-9",520
"Tabasco","2003","F","5-9",1
"Tamaulipas","2003","F","5-9",12
"Tlaxcala","2003","F","5-9",2
"Veracruz","2003","F","5-9",12
"Yucatán","2003","F","5-9",2
"Zacatecas","2003","F","5-9",157
"Aguascalientes","2003","F","10 - 14",83
"Baja California","2003","F","10 - 14",6
"Baja California Sur","2003","F","10 - 14",1
"Campeche","2003","F","10 - 14",3
"Coahuila","2003","F","10 - 14",4
"Colima","2003","F","10 - 14",495
"Chiapas","2003","F","10 - 14",13
"Chihuahua","2003","F","10 - 14",26
"Distrito Federal","2003","F","10 - 14",13
"Durango","2003","F","10 - 14",305
"Guanajuato","2003","F","10 - 14",1516
"Guerrero","2003","F","10 - 14",1539
"Hidalgo","2003","F","10 - 14",13
"Jalisco","2003","F","10 - 14",2706
"México","2003","F","10 - 14",392
"Michoacán","2003","F","10 - 14",1829
"Morelos","2003","F","10 - 14",1749
"Nayarit","2003","F","10 - 14",785
"Nuevo León","2003","F","10 - 14",36
"Oaxaca","2003","F","10 - 14",287
"Puebla","2003","F","10 - 14",913
"Querétaro","2003","F","10 - 14",222
"Quintana Roo","2003","F","10 - 14",3
"San Luis Potosi","2003","F","10 - 14",16
"Sinaloa","2003","F","10 - 14",398
"Sonora","2003","F","10 - 14",442
"Tabasco","2003","F","10 - 14",7
"Tamaulipas","2003","F","10 - 14",16
"Tlaxcala","2003","F","10 - 14",2
"Veracruz","2003","F","10 - 14",12
"Yucatán","2003","F","10 - 14",3
"Zacatecas","2003","F","10 - 14",162
"Aguascalientes","2003","F","15 - 19",83
"Baja California","2003","F","15 - 19",2
"Baja California Sur","2003","F","15 - 19",5
"Campeche","2003","F","15 - 19",5
"Coahuila","2003","F","15 - 19",11
"Colima","2003","F","15 - 19",613
"Chiapas","2003","F","15 - 19",10
"Chihuahua","2003","F","15 - 19",30
"Distrito Federal","2003","F","15 - 19",12
"Durango","2003","F","15 - 19",328
"Guanajuato","2003","F","15 - 19",1596
"Guerrero","2003","F","15 - 19",1186
"Hidalgo","2003","F","15 - 19",17
"Jalisco","2003","F","15 - 19",2739
"México","2003","F","15 - 19",302
"Michoacán","2003","F","15 - 19",1665
"Morelos","2003","F","15 - 19",1582
"Nayarit","2003","F","15 - 19",723
"Nuevo León","2003","F","15 - 19",39
"Oaxaca","2003","F","15 - 19",253
