"Estado","Total","a�o","sexo","Instituci�n","numerocasos"
"Aguascalientes",675,"2003","F","SSA","654"
"Baja California",42,"2003","F","SSA","9"
"Baja California Sur",39,"2003","F","SSA","30"
"Campeche",34,"2003","F","SSA","20"
"Coahuila",49,"2003","F","SSA","17"
"Colima",4644,"2003","F","SSA","3196"
"Chiapas",110,"2003","F","SSA","64"
"Chihuahua",255,"2003","F","SSA","77"
"Distrito Federal",139,"2003","F","SSA","99"
"Durango",2708,"2003","F","SSA","2238"
"Guanajuato",12773,"2003","F","SSA","6611"
"Guerrero",11880,"2003","F","SSA","10770"
"Hidalgo",156,"2003","F","SSA","120"
"Jalisco",23377,"2003","F","SSA","16139"
"México",2813,"2003","F","SSA","2633"
"Michoacán",14178,"2003","F","SSA","7106"
"Morelos",14922,"2003","F","SSA","9564"
"Nayarit",6635,"2003","F","SSA","4220"
"Nuevo León",243,"2003","F","SSA","22"
"Oaxaca",2374,"2003","F","SSA","1388"
"Puebla",7887,"2003","F","SSA","5271"
"Querétaro",2259,"2003","F","SSA","528"
"Quintana Roo",54,"2003","F","SSA","28"
"San Luis Potosi",138,"2003","F","SSA","60"
"Sinaloa",4161,"2003","F","SSA","1793"
"Sonora",6676,"2003","F","SSA","5287"
"Tabasco",28,"2003","F","SSA","21"
"Tamaulipas",294,"2003","F","SSA","96"
"Tlaxcala",14,"2003","F","SSA","12"
"Veracruz",145,"2003","F","SSA","80"
"Yucatán",41,"2003","F","SSA","27"
"Zacatecas",1417,"2003","F","SSA","1008"
"Aguascalientes",675,"2003","F","IMSS-ORD","20"
"Baja California",42,"2003","F","IMSS-ORD","21"
"Baja California Sur",39,"2003","F","IMSS-ORD","3"
"Campeche",34,"2003","F","IMSS-ORD","1"
"Coahuila",49,"2003","F","IMSS-ORD","27"
"Colima",4644,"2003","F","IMSS-ORD","1341"
"Chiapas",110,"2003","F","IMSS-ORD","2"
"Chihuahua",255,"2003","F","IMSS-ORD","85"
"Distrito Federal",139,"2003","F","IMSS-ORD","10"
"Durango",2708,"2003","F","IMSS-ORD","4"
"Guanajuato",12773,"2003","F","IMSS-ORD","2386"
"Guerrero",11880,"2003","F","IMSS-ORD","662"
"Hidalgo",156,"2003","F","IMSS-ORD","0"
"Jalisco",23377,"2003","F","IMSS-ORD","5679"
"México",2813,"2003","F","IMSS-ORD","14"
"Michoacán",14178,"2003","F","IMSS-ORD","3017"
"Morelos",14922,"2003","F","IMSS-ORD","4539"
"Nayarit",6635,"2003","F","IMSS-ORD","799"
"Nuevo León",243,"2003","F","IMSS-ORD","64"
"Oaxaca",2374,"2003","F","IMSS-ORD","94"
"Puebla",7887,"2003","F","IMSS-ORD","690"
"Querétaro",2259,"2003","F","IMSS-ORD","1712"
"Quintana Roo",54,"2003","F","IMSS-ORD","25"
"San Luis Potosi",138,"2003","F","IMSS-ORD","59"
"Sinaloa",4161,"2003","F","IMSS-ORD","966"
"Sonora",6676,"2003","F","IMSS-ORD","1028"
"Tabasco",28,"2003","F","IMSS-ORD","1"
"Tamaulipas",294,"2003","F","IMSS-ORD","10"
"Tlaxcala",14,"2003","F","IMSS-ORD","2"
"Veracruz",145,"2003","F","IMSS-ORD","34"
"Yucatán",41,"2003","F","IMSS-ORD","1"
"Zacatecas",1417,"2003","F","IMSS-ORD","81"
"Aguascalientes",675,"2003","F","ISSSTE","1"
"Baja California",42,"2003","F","ISSSTE","1"
"Baja California Sur",39,"2003","F","ISSSTE","6"
"Campeche",34,"2003","F","ISSSTE","2"
"Coahuila",49,"2003","F","ISSSTE","0"
"Colima",4644,"2003","F","ISSSTE","55"
"Chiapas",110,"2003","F","ISSSTE","18"
"Chihuahua",255,"2003","F","ISSSTE","0"
"Distrito Federal",139,"2003","F","ISSSTE","28"
"Durango",2708,"2003","F","ISSSTE","15"
"Guanajuato",12773,"2003","F","ISSSTE","133"
"Guerrero",11880,"2003","F","ISSSTE","376"
"Hidalgo",156,"2003","F","ISSSTE","10"
"Jalisco",23377,"2003","F","ISSSTE","57"
"México",2813,"2003","F","ISSSTE","14"
"Michoacán",14178,"2003","F","ISSSTE","515"
"Morelos",14922,"2003","F","ISSSTE","819"
"Nayarit",6635,"2003","F","ISSSTE","37"
"Nuevo León",243,"2003","F","ISSSTE","0"
"Oaxaca",2374,"2003","F","ISSSTE","70"
"Puebla",7887,"2003","F","ISSSTE","76"
"Querétaro",2259,"2003","F","ISSSTE","6"
"Quintana Roo",54,"2003","F","ISSSTE","1"
"San Luis Potosi",138,"2003","F","ISSSTE","1"
"Sinaloa",4161,"2003","F","ISSSTE","132"
"Sonora",6676,"2003","F","ISSSTE","18"
"Tabasco",28,"2003","F","ISSSTE","0"
"Tamaulipas",294,"2003","F","ISSSTE","6"
"Tlaxcala",14,"2003","F","ISSSTE","0"
"Veracruz",145,"2003","F","ISSSTE","2"
"Yucatán",41,"2003","F","ISSSTE","0"
"Zacatecas",1417,"2003","F","ISSSTE","5"
"Aguascalientes",675,"2003","F","IMSS-OP","0"
"Baja California",42,"2003","F","IMSS-OP","0"
"Baja California Sur",39,"2003","F","IMSS-OP","0"
"Campeche",34,"2003","F","IMSS-OP","11"
"Coahuila",49,"2003","F","IMSS-OP","4"
"Colima",4644,"2003","F","IMSS-OP","0"
"Chiapas",110,"2003","F","IMSS-OP","24"
"Chihuahua",255,"2003","F","IMSS-OP","66"
"Distrito Federal",139,"2003","F","IMSS-OP","0"
"Durango",2708,"2003","F","IMSS-OP","447"
"Guanajuato",12773,"2003","F","IMSS-OP","0"
"Guerrero",11880,"2003","F","IMSS-OP","0"
"Hidalgo",156,"2003","F","IMSS-OP","22"
"Jalisco",23377,"2003","F","IMSS-OP","0"
"México",2813,"2003","F","IMSS-OP","0"
"Michoacán",14178,"2003","F","IMSS-OP","3532"
"Morelos",14922,"2003","F","IMSS-OP","0"
"Nayarit",6635,"2003","F","IMSS-OP","1573"
"Nuevo León",243,"2003","F","IMSS-OP","0"
"Oaxaca",2374,"2003","F","IMSS-OP","803"
"Puebla",7887,"2003","F","IMSS-OP","1823"
"Querétaro",2259,"2003","F","IMSS-OP","0"
"Quintana Roo",54,"2003","F","IMSS-OP","0"
"San Luis Potosi",138,"2003","F","IMSS-OP","18"
"Sinaloa",4161,"2003","F","IMSS-OP","962"
"Sonora",6676,"2003","F","IMSS-OP","0"
"Tabasco",28,"2003","F","IMSS-OP","0"
"Tamaulipas",294,"2003","F","IMSS-OP","16"
"Tlaxcala",14,"2003","F","IMSS-OP","0"
"Veracruz",145,"2003","F","IMSS-OP","22"
"Yucatán",41,"2003","F","IMSS-OP","13"
"Zacatecas",1417,"2003","F","IMSS-OP","323"
"Aguascalientes",675,"2003","F","DIF","0"
"Baja California",42,"2003","F","DIF","0"
"Baja California Sur",39,"2003","F","DIF","0"
"Campeche",34,"2003","F","DIF","0"
"Coahuila",49,"2003","F","DIF","0"
"Colima",4644,"2003","F","DIF","0"
"Chiapas",110,"2003","F","DIF","0"
"Chihuahua",255,"2003","F","DIF","0"
"Distrito Federal",139,"2003","F","DIF","0"
