"Estado","Total","a�o","sexo","Mes","numerocasos"
"Aguascalientes",675,"2003","F","Ene",39
"Baja California",42,"2003","F","Ene",1
"Baja California Sur",39,"2003","F","Ene",2
"Campeche",34,"2003","F","Ene",2
"Coahuila",49,"2003","F","Ene",0
"Colima",4644,"2003","F","Ene",378
"Chiapas",110,"2003","F","Ene",7
"Chihuahua",255,"2003","F","Ene",6
"Distrito Federal",139,"2003","F","Ene",9
"Durango",2708,"2003","F","Ene",87
"Guanajuato",12773,"2003","F","Ene",608
"Guerrero",11880,"2003","F","Ene",763
"Hidalgo",156,"2003","F","Ene",8
"Jalisco",23377,"2003","F","Ene",1698
"México",2813,"2003","F","Ene",131
"Michoacán",14178,"2003","F","Ene",861
"Morelos",14922,"2003","F","Ene",808
"Nayarit",6635,"2003","F","Ene",397
"Nuevo León",243,"2003","F","Ene",2
"Oaxaca",2374,"2003","F","Ene",163
"Puebla",7887,"2003","F","Ene",480
"Querétaro",2259,"2003","F","Ene",110
"Quintana Roo",54,"2003","F","Ene",1
"San Luis Potosi",138,"2003","F","Ene",2
"Sinaloa",4161,"2003","F","Ene",220
"Sonora",6676,"2003","F","Ene",235
"Tabasco",28,"2003","F","Ene",2
"Tamaulipas",294,"2003","F","Ene",3
"Tlaxcala",14,"2003","F","Ene",1
"Veracruz",145,"2003","F","Ene",5
"Yucatán",41,"2003","F","Ene",1
"Zacatecas",1417,"2003","F","Ene",50
"TOTAL GLOBAL",121160,"2003","F","Ene",7080
"Aguascalientes",675,"2003","F","Feb",40
"Baja California",42,"2003","F","Feb",2
"Baja California Sur",39,"2003","F","Feb",1
"Campeche",34,"2003","F","Feb",7
"Coahuila",49,"2003","F","Feb",1
"Colima",4644,"2003","F","Feb",359
"Chiapas",110,"2003","F","Feb",16
"Chihuahua",255,"2003","F","Feb",5
"Distrito Federal",139,"2003","F","Feb",11
"Durango",2708,"2003","F","Feb",57
"Guanajuato",12773,"2003","F","Feb",825
"Guerrero",11880,"2003","F","Feb",747
"Hidalgo",156,"2003","F","Feb",6
"Jalisco",23377,"2003","F","Feb",1380
"México",2813,"2003","F","Feb",131
"Michoacán",14178,"2003","F","Feb",861
"Morelos",14922,"2003","F","Feb",855
"Nayarit",6635,"2003","F","Feb",260
"Nuevo León",243,"2003","F","Feb",2
"Oaxaca",2374,"2003","F","Feb",161
"Puebla",7887,"2003","F","Feb",529
"Querétaro",2259,"2003","F","Feb",114
"Quintana Roo",54,"2003","F","Feb",1
"San Luis Potosi",138,"2003","F","Feb",3
"Sinaloa",4161,"2003","F","Feb",173
"Sonora",6676,"2003","F","Feb",199
"Tabasco",28,"2003","F","Feb",3
"Tamaulipas",294,"2003","F","Feb",2
"Tlaxcala",14,"2003","F","Feb",0
"Veracruz",145,"2003","F","Feb",5
"Yucatán",41,"2003","F","Feb",5
"Zacatecas",1417,"2003","F","Feb",50
"TOTAL GLOBAL",121160,"2003","F","Feb",6811
"Aguascalientes",675,"2003","F","Mar",49
"Baja California",42,"2003","F","Mar",2
"Baja California Sur",39,"2003","F","Mar",1
"Campeche",34,"2003","F","Mar",5
"Coahuila",49,"2003","F","Mar",2
"Colima",4644,"2003","F","Mar",266
"Chiapas",110,"2003","F","Mar",5
"Chihuahua",255,"2003","F","Mar",5
"Distrito Federal",139,"2003","F","Mar",13
"Durango",2708,"2003","F","Mar",147
"Guanajuato",12773,"2003","F","Mar",1147
"Guerrero",11880,"2003","F","Mar",812
"Hidalgo",156,"2003","F","Mar",15
"Jalisco",23377,"2003","F","Mar",1869
"México",2813,"2003","F","Mar",131
"Michoacán",14178,"2003","F","Mar",1170
"Morelos",14922,"2003","F","Mar",1257
"Nayarit",6635,"2003","F","Mar",350
"Nuevo León",243,"2003","F","Mar",7
"Oaxaca",2374,"2003","F","Mar",200
"Puebla",7887,"2003","F","Mar",667
"Querétaro",2259,"2003","F","Mar",180
"Quintana Roo",54,"2003","F","Mar",1
"San Luis Potosi",138,"2003","F","Mar",9
"Sinaloa",4161,"2003","F","Mar",136
"Sonora",6676,"2003","F","Mar",196
"Tabasco",28,"2003","F","Mar",1
"Tamaulipas",294,"2003","F","Mar",3
"Tlaxcala",14,"2003","F","Mar",2
"Veracruz",145,"2003","F","Mar",19
"Yucatán",41,"2003","F","Mar",1
"Zacatecas",1417,"2003","F","Mar",91
"TOTAL GLOBAL",121160,"2003","F","Mar",8759
"Aguascalientes",675,"2003","F","Abr",115
"Baja California",42,"2003","F","Abr",1
"Baja California Sur",39,"2003","F","Abr",3
"Campeche",34,"2003","F","Abr",5
"Coahuila",49,"2003","F","Abr",4
"Colima",4644,"2003","F","Abr",400
"Chiapas",110,"2003","F","Abr",14
"Chihuahua",255,"2003","F","Abr",13
"Distrito Federal",139,"2003","F","Abr",17
"Durango",2708,"2003","F","Abr",299
"Guanajuato",12773,"2003","F","Abr",2364
"Guerrero",11880,"2003","F","Abr",1090
"Hidalgo",156,"2003","F","Abr",16
"Jalisco",23377,"2003","F","Abr",3127
"México",2813,"2003","F","Abr",299
"Michoacán",14178,"2003","F","Abr",1679
"Morelos",14922,"2003","F","Abr",2300
"Nayarit",6635,"2003","F","Abr",648
"Nuevo León",243,"2003","F","Abr",29
"Oaxaca",2374,"2003","F","Abr",329
"Puebla",7887,"2003","F","Abr",1069
"Querétaro",2259,"2003","F","Abr",305
"Quintana Roo",54,"2003","F","Abr",8
"San Luis Potosi",138,"2003","F","Abr",18
"Sinaloa",4161,"2003","F","Abr",263
"Sonora",6676,"2003","F","Abr",480
"Tabasco",28,"2003","F","Abr",3
"Tamaulipas",294,"2003","F","Abr",12
"Tlaxcala",14,"2003","F","Abr",2
"Veracruz",145,"2003","F","Abr",13
"Yucatán",41,"2003","F","Abr",2
"Zacatecas",1417,"2003","F","Abr",182
"TOTAL GLOBAL",121160,"2003","F","Abr",15109
"Aguascalientes",675,"2003","F","May",80
"Baja California",42,"2003","F","May",4
"Baja California Sur",39,"2003","F","May",9
"Campeche",34,"2003","F","May",3
"Coahuila",49,"2003","F","May",3
"Colima",4644,"2003","F","May",342
"Chiapas",110,"2003","F","May",5
"Chihuahua",255,"2003","F","May",35
"Distrito Federal",139,"2003","F","May",15
"Durango",2708,"2003","F","May",460
"Guanajuato",12773,"2003","F","May",2102
"Guerrero",11880,"2003","F","May",921
"Hidalgo",156,"2003","F","May",16
"Jalisco",23377,"2003","F","May",2805
"México",2813,"2003","F","May",277
"Michoacán",14178,"2003","F","May",1567
"Morelos",14922,"2003","F","May",1499
"Nayarit",6635,"2003","F","May",557
"Nuevo León",243,"2003","F","May",41
"Oaxaca",2374,"2003","F","May",197
"Puebla",7887,"2003","F","May",844
"Querétaro",2259,"2003","F","May",302
"Quintana Roo",54,"2003","F","May",3
"San Luis Potosi",138,"2003","F","May",23
"Sinaloa",4161,"2003","F","May",309
"Sonora",6676,"2003","F","May",904
"Tabasco",28,"2003","F","May",4
"Tamaulipas",294,"2003","F","May",32
"Tlaxcala",14,"2003","F","May",0
"Veracruz",145,"2003","F","May",10
"Yucatán",41,"2003","F","May",5
"Zacatecas",1417,"2003","F","May",298
"TOTAL GLOBAL",121160,"2003","F","May",13672
"Aguascalientes",675,"2003","F","Jun",72
"Baja California",42,"2003","F","Jun",1
"Baja California Sur",39,"2003","F","Jun",2
